"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","66.45","67.56","68.10","66.12","2.26M","-0.75%"
"10/24/2024","66.95","66.51","67.00","65.97","2.38M","1.24%"
"10/23/2024","66.13","66.99","66.99","65.64","3.47M","-1.21%"
"10/22/2024","66.94","67.11","67.17","65.04","4.17M","-0.55%"
"10/21/2024","67.31","68.03","68.62","66.93","3.25M","-1.30%"
"10/18/2024","68.20","67.91","69.06","67.31","3.45M","0.50%"
"10/17/2024","67.86","68.05","68.43","66.96","3.31M","-0.24%"
"10/16/2024","68.02","67.92","69.17","67.39","2.54M","0.43%"
"10/15/2024","67.73","66.76","68.79","66.25","2.83M","1.39%"
"10/14/2024","66.80","68.73","68.76","66.76","3.51M","-3.10%"
"10/11/2024","68.94","69.47","70.08","68.78","2.52M","-0.61%"
"10/10/2024","69.36","69.37","69.72","68.64","2.69M","-0.39%"
"10/09/2024","69.63","69.35","69.76","68.75","2.26M","0.22%"
"10/08/2024","69.48","69.35","70.59","68.79","2.46M","0.03%"
"10/07/2024","69.46","71.45","71.46","68.94","2.69M","-2.03%"
"10/04/2024","70.90","70.22","71.62","69.79","3.41M","2.63%"
"10/03/2024","69.08","69.53","69.53","68.32","2.38M","-0.59%"
"10/02/2024","69.49","70.13","70.44","69.29","2.26M","-1.35%"
"10/01/2024","70.44","70.36","71.32","68.32","3.04M","0.17%"
"09/30/2024","70.32","72.78","73.06","69.85","4.11M","-3.83%"
"09/27/2024","73.12","72.99","74.86","72.86","3.70M","0.33%"
"09/26/2024","72.88","71.11","73.30","71.00","3.57M","3.30%"
"09/25/2024","70.55","71.43","71.60","69.98","3.27M","-1.04%"
"09/24/2024","71.29","71.96","71.96","70.88","3.85M","-0.65%"
"09/23/2024","71.76","71.17","73.40","70.79","4.14M","0.04%"
"09/20/2024","71.73","73.69","73.70","71.00","7.96M","-2.91%"
"09/19/2024","73.88","76.96","76.98","73.65","4.47M","-2.37%"
"09/18/2024","75.67","73.34","76.60","73.21","4.60M","2.95%"
"09/17/2024","73.50","72.45","73.59","71.50","4.21M","2.21%"
"09/16/2024","71.91","69.87","72.09","69.63","4.90M","3.17%"
"09/13/2024","69.70","69.33","70.79","68.74","5.03M","2.67%"
"09/12/2024","67.89","66.48","70.04","66.48","4.67M","1.97%"
"09/11/2024","66.58","65.50","67.37","64.98","5.14M","1.82%"
"09/10/2024","65.39","67.22","68.01","64.38","5.94M","-3.01%"
"09/09/2024","67.42","66.21","68.64","65.53","6.45M","1.38%"
"09/06/2024","66.50","68.27","69.13","65.72","7.54M","-2.88%"
"09/05/2024","68.47","63.09","68.63","62.15","20.77M","7.72%"
"09/04/2024","63.56","72.79","73.50","60.81","30.93M","-22.16%"
"09/03/2024","81.65","84.49","85.21","81.55","6.97M","-3.36%"
"08/30/2024","84.49","85.01","85.40","83.72","5.09M","-0.35%"
"08/29/2024","84.79","86.07","88.95","84.77","6.50M","-10.24%"
"08/28/2024","94.46","95.22","96.16","94.20","2.66M","-0.99%"
"08/27/2024","95.40","96.38","96.92","95.01","3.16M","-1.19%"
"08/26/2024","96.55","98.01","98.23","96.13","2.17M","-0.46%"
"08/23/2024","97.00","98.32","98.60","96.94","2.16M","-0.98%"
"08/22/2024","97.96","100.10","100.10","97.77","1.64M","-2.02%"
"08/21/2024","99.98","103.50","104.17","98.99","2.99M","0.80%"
"08/20/2024","99.19","99.70","100.54","98.79","1.28M","-1.31%"
"08/19/2024","100.51","99.07","101.17","99.07","2.31M","1.75%"
"08/16/2024","98.78","96.74","98.95","96.08","1.90M","1.64%"
"08/15/2024","97.19","97.36","100.66","95.42","3.51M","5.22%"
"08/14/2024","92.37","92.98","93.19","91.63","2.31M","-0.09%"
"08/13/2024","92.45","93.60","94.06","91.40","2.69M","-1.54%"
"08/12/2024","93.90","95.06","95.22","92.28","2.22M","-1.21%"
"08/09/2024","95.05","94.60","95.70","94.29","1.89M","0.13%"
"08/08/2024","94.93","95.00","96.61","94.49","1.48M","-0.11%"
"08/07/2024","95.03","97.27","98.96","94.93","1.41M","-1.60%"
"08/06/2024","96.58","96.38","98.31","96.16","2.00M","0.08%"
"08/05/2024","96.50","98.93","99.35","95.44","3.47M","-3.04%"
"08/02/2024","99.53","101.11","101.46","98.26","3.53M","-0.22%"
"08/01/2024","99.75","104.24","104.53","99.67","2.82M","-4.40%"
"07/31/2024","104.34","105.00","106.25","104.24","2.17M","-0.94%"
"07/30/2024","105.33","103.53","105.43","103.08","2.85M","1.53%"
"07/29/2024","103.74","103.74","104.48","102.50","1.84M","-0.18%"
"07/26/2024","103.93","102.85","104.24","102.63","1.88M","1.27%"
"07/25/2024","102.63","104.19","106.14","102.40","2.33M","-1.02%"
"07/24/2024","103.69","107.00","107.32","103.33","3.00M","-3.10%"
"07/23/2024","107.01","106.56","108.15","106.22","2.36M","-0.19%"
"07/22/2024","107.21","107.09","108.57","106.32","2.28M","0.61%"
"07/19/2024","106.56","106.71","107.53","105.31","2.93M","-0.10%"
"07/18/2024","106.67","107.89","108.93","105.99","4.35M","1.26%"
"07/17/2024","105.34","102.95","105.50","102.39","2.95M","0.50%"
"07/16/2024","104.82","102.94","105.46","102.56","2.91M","0.95%"
"07/15/2024","103.83","106.84","106.96","103.50","2.82M","-3.29%"
"07/12/2024","107.36","107.08","108.74","106.59","1.85M","0.59%"
"07/11/2024","106.73","102.86","107.54","102.75","2.68M","4.15%"
"07/10/2024","102.48","104.43","104.71","101.83","3.46M","-1.49%"
"07/09/2024","104.03","106.41","106.41","103.90","2.32M","-2.52%"
"07/08/2024","106.72","107.00","107.81","106.00","1.44M","0.04%"
"07/05/2024","106.68","106.03","106.90","105.53","1.12M","0.69%"
"07/03/2024","105.95","106.85","107.65","105.37","971.17K","-1.08%"
"07/02/2024","107.11","107.01","107.55","106.42","1.95M","-0.13%"
"07/01/2024","107.25","106.87","109.36","106.26","2.73M","0.45%"
"06/28/2024","106.77","105.04","107.32","104.25","3.21M","1.48%"
"06/27/2024","105.21","103.45","106.28","103.04","7.07M","1.72%"
"06/26/2024","103.43","105.13","105.64","101.85","5.64M","-1.88%"
"06/25/2024","105.41","106.89","106.89","104.93","2.37M","-1.81%"
"06/24/2024","107.35","107.00","108.46","106.01","4.36M","0.45%"
"06/21/2024","106.87","108.01","108.67","106.24","5.23M","-0.66%"
"06/20/2024","107.58","106.59","108.27","105.81","2.67M","0.32%"
"06/18/2024","107.24","108.85","108.94","106.10","1.94M","-1.30%"
"06/17/2024","108.65","105.69","109.19","105.02","2.49M","2.47%"
"06/14/2024","106.03","106.47","106.87","104.60","1.92M","-0.47%"
"06/13/2024","106.53","108.57","108.57","105.93","2.68M","-2.15%"
"06/12/2024","108.87","110.10","111.44","108.54","3.64M","-0.70%"
