"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","511.27","514.00","516.89","510.46","982.55K","-0.07%"
"10/24/2024","511.63","510.79","515.31","509.78","755.45K","-0.19%"
"10/23/2024","512.58","513.89","516.00","507.28","1.12M","-0.95%"
"10/22/2024","517.50","515.00","519.18","511.81","1.34M","-0.26%"
"10/21/2024","518.86","519.04","522.66","514.55","1.31M","-0.44%"
"10/18/2024","521.15","496.00","523.34","495.00","4.06M","10.01%"
"10/17/2024","473.73","481.06","481.06","472.12","1.96M","-0.60%"
"10/16/2024","476.59","478.11","479.52","473.51","1.04M","-0.39%"
"10/15/2024","478.47","488.00","489.63","476.67","1.31M","-1.87%"
"10/14/2024","487.61","487.04","488.63","483.97","883.62K","0.58%"
"10/11/2024","484.78","486.00","487.58","483.12","1.17M","0.19%"
"10/10/2024","483.84","486.23","488.26","483.20","942.18K","-1.33%"
"10/09/2024","490.38","480.60","490.58","478.49","1.06M","2.00%"
"10/08/2024","480.79","473.79","482.88","473.79","1.04M","2.03%"
"10/07/2024","471.23","476.86","479.30","470.06","1.18M","-2.22%"
"10/04/2024","481.95","484.45","484.45","476.60","903.89K","0.48%"
"10/03/2024","479.63","484.42","486.00","478.56","764.69K","-1.44%"
"10/02/2024","486.62","482.72","489.71","478.62","740.93K","0.38%"
"10/01/2024","484.76","492.50","496.48","481.71","1.18M","-1.33%"
"09/30/2024","491.27","480.00","492.25","478.69","1.65M","2.52%"
"09/27/2024","479.18","490.03","490.03","478.57","1.01M","-1.47%"
"09/26/2024","486.33","488.25","490.95","484.76","871.63K","0.40%"
"09/25/2024","484.39","486.00","487.12","482.29","897.79K","0.00%"
"09/24/2024","484.40","490.51","490.51","482.35","1.12M","-0.95%"
"09/23/2024","489.07","488.50","491.83","486.27","927.22K","0.59%"
"09/20/2024","486.20","485.11","486.30","480.16","2.73M","-0.78%"
"09/19/2024","490.01","492.00","492.74","486.98","1.23M","1.64%"
"09/18/2024","482.09","484.21","488.75","479.58","982.26K","-0.25%"
"09/17/2024","483.32","491.27","491.27","482.38","1.16M","-1.64%"
"09/16/2024","491.39","493.47","494.01","488.57","921.41K","0.31%"
"09/13/2024","489.86","490.28","496.18","489.19","1.24M","-0.84%"
"09/12/2024","494.01","491.91","494.15","486.05","1.13M","0.63%"
"09/11/2024","490.93","484.18","491.83","477.08","1.24M","1.38%"
"09/10/2024","484.24","477.50","484.79","477.50","1.01M","1.01%"
"09/09/2024","479.39","475.00","479.99","473.98","1.12M","1.60%"
"09/06/2024","471.82","476.92","478.25","466.00","1.70M","-1.02%"
"09/05/2024","476.69","480.32","480.32","468.46","1.19M","-1.05%"
"09/04/2024","481.73","480.96","484.64","478.28","1.32M","-0.35%"
"09/03/2024","483.44","491.67","493.42","480.80","1.36M","-1.87%"
"08/30/2024","492.63","489.16","493.44","485.28","1.10M","1.12%"
"08/29/2024","487.17","482.21","491.66","481.25","939.70K","1.03%"
"08/28/2024","482.21","482.93","485.36","479.24","960.08K","-0.03%"
"08/27/2024","482.35","478.44","483.57","477.00","939.97K","0.66%"
"08/26/2024","479.19","486.88","487.27","476.88","1.17M","-1.51%"
"08/23/2024","486.55","492.62","493.97","478.18","1.16M","-0.79%"
"08/22/2024","490.43","490.00","491.83","486.92","1.14M","0.62%"
"08/21/2024","487.42","484.20","488.47","482.00","886.44K","0.87%"
"08/20/2024","483.21","483.00","488.48","482.33","885.48K","0.22%"
"08/19/2024","482.16","475.44","482.78","475.44","977.88K","0.66%"
"08/16/2024","478.98","478.01","482.50","477.10","809.10K","-0.25%"
"08/15/2024","480.17","476.87","480.54","474.16","1.60M","1.90%"
"08/14/2024","471.21","468.78","473.75","466.34","1.11M","0.42%"
"08/13/2024","469.23","468.23","470.49","463.01","891.66K","0.79%"
"08/12/2024","465.53","464.76","466.82","458.27","1.01M","0.45%"
"08/09/2024","463.42","462.59","465.70","460.12","1.02M","-0.04%"
"08/08/2024","463.61","453.60","464.14","451.06","1.29M","3.19%"
"08/07/2024","449.26","452.00","461.71","448.59","1.71M","0.36%"
"08/06/2024","447.66","439.01","456.24","438.66","1.69M","2.21%"
"08/05/2024","438.00","437.55","444.58","429.60","2.47M","-2.61%"
"08/02/2024","449.73","455.73","455.73","439.89","2.06M","-0.27%"
"08/01/2024","450.94","443.30","452.72","443.30","2.02M","1.42%"
"07/31/2024","444.61","438.50","447.31","432.40","1.76M","2.75%"
"07/30/2024","432.69","443.66","448.58","431.56","1.55M","-2.47%"
"07/29/2024","443.66","446.60","448.27","439.41","1.12M","0.53%"
"07/26/2024","441.30","438.60","446.16","432.87","1.20M","1.04%"
"07/25/2024","436.74","453.22","457.37","436.20","1.82M","-3.81%"
"07/24/2024","454.02","455.25","460.59","452.25","2.30M","-0.23%"
"07/23/2024","455.06","459.10","462.61","454.36","1.75M","-1.31%"
"07/22/2024","461.12","462.33","468.78","459.18","2.57M","1.34%"
"07/19/2024","455.01","449.43","456.81","439.00","4.20M","9.34%"
"07/18/2024","416.14","425.00","427.33","413.82","3.86M","-2.37%"
"07/17/2024","426.23","430.01","436.33","426.01","2.39M","-2.69%"
"07/16/2024","438.01","440.84","442.09","433.22","1.44M","0.17%"
"07/15/2024","437.25","444.00","444.39","433.91","1.57M","-1.56%"
"07/12/2024","444.16","442.84","447.14","439.61","1.15M","0.15%"
"07/11/2024","443.50","444.74","449.00","442.70","1.82M","-0.28%"
"07/10/2024","444.74","441.69","445.48","438.85","1.08M","0.55%"
"07/09/2024","442.30","447.62","447.62","441.27","889.60K","-0.50%"
"07/08/2024","444.53","442.04","445.96","441.56","1.28M","0.17%"
"07/05/2024","443.76","437.94","445.05","433.44","1.11M","2.06%"
"07/03/2024","434.81","439.00","439.00","432.90","826.37K","-0.91%"
"07/02/2024","438.81","436.31","439.64","432.20","1.09M","0.59%"
"07/01/2024","436.24","445.85","448.10","433.79","1.66M","-1.94%"
"06/28/2024","444.85","444.74","447.11","441.49","3.11M","-0.06%"
"06/27/2024","445.11","442.10","445.79","439.61","1.23M","0.58%"
"06/26/2024","442.56","441.25","443.83","437.71","1.36M","0.06%"
"06/25/2024","442.31","431.12","443.81","430.49","2.64M","3.09%"
"06/24/2024","429.04","432.78","435.70","426.97","1.61M","-0.81%"
"06/21/2024","432.56","436.08","436.08","430.00","2.77M","0.00%"
"06/20/2024","432.55","435.99","437.20","428.67","1.29M","-0.56%"
"06/18/2024","435.00","429.05","436.94","428.75","1.38M","1.16%"
"06/17/2024","430.00","425.36","431.60","423.58","1.13M","0.99%"
"06/14/2024","425.78","418.80","426.32","413.98","941.00K","0.68%"
"06/13/2024","422.90","424.74","428.00","422.51","1.14M","-1.21%"
"06/12/2024","428.10","421.06","428.86","420.86","1.25M","2.23%"
"06/11/2024","418.78","417.04","420.22","415.20","907.85K","0.10%"
"06/10/2024","418.38","416.60","419.87","413.52","815.83K","0.18%"
"06/07/2024","417.61","418.13","420.57","415.80","1.20M","-0.13%"
"06/06/2024","418.15","413.92","419.17","405.08","1.73M","0.22%"
"06/05/2024","417.24","407.72","418.14","407.33","2.23M","2.61%"
"06/04/2024","406.61","402.55","408.01","397.47","936.15K","0.68%"
"06/03/2024","403.86","402.89","405.33","398.60","913.14K","0.43%"
"05/31/2024","402.12","404.94","408.90","396.48","1.98M","-0.31%"
"05/30/2024","403.39","405.00","412.29","400.49","1.65M","1.25%"
"05/29/2024","398.40","396.59","403.00","396.15","958.22K","-0.66%"
"05/28/2024","401.03","403.85","405.99","398.29","964.21K","-0.94%"
"05/24/2024","404.85","397.61","407.33","397.01","1.08M","1.62%"
"05/23/2024","398.39","402.47","405.38","396.38","1.19M","-0.63%"
"05/22/2024","400.90","402.56","408.43","399.17","1.36M","-0.30%"
"05/21/2024","402.11","400.00","403.00","397.10","1.28M","0.52%"
"05/20/2024","400.03","398.58","400.41","395.60","951.29K","0.30%"
"05/17/2024","398.82","396.19","398.96","393.98","720.29K","0.60%"
"05/16/2024","396.43","398.28","401.36","396.02","1.08M","-0.74%"
"05/15/2024","399.39","387.22","399.66","386.00","1.20M","3.96%"
"05/14/2024","384.19","382.40","384.80","379.67","913.53K","0.87%"
"05/13/2024","380.88","389.16","389.16","380.65","1.07M","-1.51%"
"05/10/2024","386.70","385.55","389.76","383.88","853.11K","0.32%"
"05/09/2024","385.45","381.79","387.33","380.69","882.19K","1.34%"
"05/08/2024","380.37","384.93","386.01","380.13","1.11M","-2.13%"
"05/07/2024","388.65","385.01","389.78","383.05","932.79K","1.46%"
"05/06/2024","383.05","382.63","384.35","380.60","878.19K","0.44%"
"05/03/2024","381.36","380.00","384.47","378.87","1.03M","0.98%"
"05/02/2024","377.65","373.64","377.88","367.39","1.21M","1.60%"
"05/01/2024","371.70","369.57","379.50","368.60","952.26K","0.29%"
"04/30/2024","370.62","373.18","373.68","368.75","1.21M","-0.94%"
"04/29/2024","374.14","375.39","377.99","372.06","983.23K","-0.32%"
"04/26/2024","375.33","368.10","377.83","368.10","927.85K","0.59%"
"04/25/2024","373.12","374.12","375.46","367.66","1.26M","-0.50%"
"04/24/2024","375.01","374.00","383.62","372.83","1.33M","-0.55%"
"04/23/2024","377.08","370.88","379.77","368.68","1.86M","2.21%"
"04/22/2024","368.93","369.54","371.83","364.31","1.60M","0.71%"
"04/19/2024","366.34","385.27","388.65","364.17","3.98M","-1.69%"
"04/18/2024","372.63","372.57","375.33","369.15","2.32M","-0.41%"
"04/17/2024","374.17","378.93","379.71","371.14","1.63M","-1.16%"
"04/16/2024","378.55","376.63","383.85","371.54","1.60M","0.32%"
"04/15/2024","377.36","392.25","392.29","376.33","1.65M","-1.93%"
"04/12/2024","384.80","387.00","388.26","380.71","1.48M","-1.90%"
"04/11/2024","392.26","387.58","392.80","387.58","1.19M","0.98%"
"04/10/2024","388.46","387.16","391.46","385.51","1.20M","-0.64%"
"04/09/2024","390.96","389.95","391.18","383.81","1.12M","1.04%"
"04/08/2024","386.93","388.39","389.89","383.04","947.43K","-0.38%"
"04/05/2024","388.39","381.12","393.66","379.24","1.40M","2.50%"
"04/04/2024","378.92","387.76","389.02","378.62","1.60M","-1.17%"
"04/03/2024","383.42","383.77","388.29","382.22","1.63M","0.28%"
"04/02/2024","382.36","391.99","391.99","380.51","2.33M","-3.17%"
"04/01/2024","394.87","399.00","399.64","392.22","1.16M","-1.06%"
"03/28/2024","399.09","401.45","402.50","397.06","1.12M","-0.25%"
"03/27/2024","400.10","403.02","403.76","397.50","1.37M","0.62%"
"03/26/2024","397.63","394.37","399.56","392.29","1.54M","1.51%"
"03/25/2024","391.71","393.59","396.90","390.50","1.12M","-0.60%"
"03/22/2024","394.07","392.45","394.51","387.17","1.56M","0.54%"
"03/21/2024","391.96","394.00","397.00","391.93","920.84K","0.41%"
"03/20/2024","390.37","390.39","390.67","384.40","930.13K","-0.04%"
"03/19/2024","390.53","391.99","392.58","381.77","1.61M","-0.53%"
"03/18/2024","392.62","399.60","401.27","390.79","1.65M","-0.92%"
"03/15/2024","396.28","398.16","398.16","382.63","3.91M","3.11%"
"03/14/2024","384.31","383.23","384.43","376.60","1.41M","0.34%"
"03/13/2024","382.99","389.67","390.69","380.98","1.45M","-1.65%"
"03/12/2024","389.40","378.90","390.26","378.52","1.45M","2.77%"
"03/11/2024","378.90","391.00","391.00","377.44","1.60M","-3.30%"
"03/08/2024","391.85","392.02","395.93","390.79","1.74M","-0.21%"
"03/07/2024","392.68","393.30","396.61","390.35","1.80M","1.16%"
"03/06/2024","388.16","386.76","393.14","386.76","1.20M","0.22%"
"03/05/2024","387.32","400.00","400.41","386.30","1.61M","-3.31%"
"03/04/2024","400.59","398.30","403.00","396.51","1.94M","0.68%"
"03/01/2024","397.90","383.48","399.67","382.32","2.19M","3.19%"
