"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","304.15","302.81","313.09","302.51","2.59M","1.73%"
"10/24/2024","298.99","295.40","299.22","294.62","1.17M","2.00%"
"10/23/2024","293.14","297.14","297.53","290.71","1.18M","-1.92%"
"10/22/2024","298.88","298.24","304.49","296.00","2.03M","0.38%"
"10/21/2024","297.74","291.43","299.16","291.31","2.48M","2.10%"
"10/18/2024","291.63","283.55","291.79","282.15","1.69M","2.79%"
"10/17/2024","283.71","294.41","295.64","283.62","2.67M","-3.57%"
"10/16/2024","294.21","287.34","295.36","286.71","2.34M","2.34%"
"10/15/2024","287.48","286.42","292.45","285.27","1.95M","0.25%"
"10/14/2024","286.76","278.50","287.19","272.90","2.13M","3.06%"
"10/11/2024","278.24","272.90","279.05","272.00","1.49M","1.71%"
"10/10/2024","273.58","273.67","274.49","268.16","1.56M","-0.20%"
"10/09/2024","274.12","277.84","278.57","272.10","1.40M","-0.89%"
"10/08/2024","276.59","271.09","279.00","268.00","1.95M","1.51%"
"10/07/2024","272.48","270.65","273.57","264.20","2.33M","0.78%"
"10/04/2024","270.38","267.77","274.66","267.12","2.18M","2.98%"
"10/03/2024","262.56","258.48","262.82","256.50","1.72M","0.78%"
"10/02/2024","260.53","264.80","265.68","259.75","1.71M","-2.22%"
"10/01/2024","266.45","267.67","269.61","261.75","1.98M","-1.81%"
"09/30/2024","271.35","278.00","281.33","271.10","1.98M","-3.09%"
"09/27/2024","280.01","273.22","283.66","272.01","2.94M","4.16%"
"09/26/2024","268.82","269.00","270.73","265.73","2.19M","3.50%"
"09/25/2024","259.74","263.00","264.03","257.61","1.74M","-1.45%"
"09/24/2024","263.55","266.69","271.76","262.78","2.22M","1.44%"
"09/23/2024","259.80","263.00","264.11","259.53","1.72M","-1.07%"
"09/20/2024","262.61","270.75","270.76","261.05","2.87M","-3.01%"
"09/19/2024","270.76","275.98","281.18","269.44","2.46M","0.21%"
"09/18/2024","270.20","269.58","274.64","266.55","2.11M","0.67%"
"09/17/2024","268.41","266.90","270.44","264.64","1.55M","1.17%"
"09/16/2024","265.30","266.99","267.45","260.26","1.37M","-0.55%"
"09/13/2024","266.76","261.01","268.78","260.91","1.78M","2.54%"
"09/12/2024","260.14","254.02","260.39","253.97","1.82M","1.94%"
"09/11/2024","255.20","248.05","255.69","243.37","1.86M","3.24%"
"09/10/2024","247.18","249.00","249.38","244.88","1.44M","-0.57%"
"09/09/2024","248.59","253.89","258.18","247.10","2.03M","-2.07%"
"09/06/2024","253.84","262.13","265.90","250.65","2.59M","0.06%"
"09/05/2024","253.70","255.84","257.77","252.50","1.94M","-0.71%"
"09/04/2024","255.51","254.24","257.49","251.76","2.42M","-1.00%"
"09/03/2024","258.08","258.26","261.77","251.75","3.07M","-0.54%"
"08/30/2024","259.47","269.06","270.00","249.10","7.37M","0.18%"
"08/29/2024","259.01","261.86","263.35","258.28","4.75M","0.07%"
"08/28/2024","258.83","266.68","267.83","255.29","2.88M","-4.55%"
"08/27/2024","271.18","270.79","272.33","268.25","1.96M","-0.18%"
"08/26/2024","271.66","272.15","275.04","269.26","2.51M","1.16%"
"08/23/2024","268.55","265.11","268.95","264.64","1.61M","1.94%"
"08/22/2024","263.45","265.64","267.30","262.50","1.61M","-0.82%"
"08/21/2024","265.63","265.88","270.55","263.59","1.90M","1.93%"
"08/20/2024","260.60","259.00","261.32","257.31","1.41M","0.57%"
"08/19/2024","259.12","259.60","263.00","258.42","2.06M","0.40%"
"08/16/2024","258.10","258.20","259.90","254.01","2.09M","0.60%"
"08/15/2024","256.55","250.82","258.34","250.13","3.21M","6.68%"
"08/14/2024","240.49","243.00","244.50","240.36","1.16M","-0.60%"
"08/13/2024","241.95","241.34","245.73","238.90","1.86M","0.94%"
"08/12/2024","239.70","239.93","240.82","236.55","1.41M","0.41%"
"08/09/2024","238.72","240.75","240.87","237.28","1.29M","-1.25%"
"08/08/2024","241.75","238.14","243.15","235.93","1.76M","3.56%"
"08/07/2024","233.44","239.96","244.65","232.96","1.55M","-1.46%"
"08/06/2024","236.90","235.00","240.36","234.00","1.85M","1.50%"
"08/05/2024","233.40","228.08","236.35","226.01","2.86M","-1.10%"
"08/02/2024","236.00","240.00","243.25","234.69","3.10M","-5.24%"
"08/01/2024","249.05","258.67","260.12","246.12","2.12M","-3.72%"
"07/31/2024","258.66","256.00","262.49","256.00","2.05M","1.04%"
"07/30/2024","256.00","258.30","259.39","253.70","1.56M","-1.17%"
"07/29/2024","259.03","256.39","260.46","251.95","2.31M","2.18%"
"07/26/2024","253.50","250.00","257.26","246.99","4.12M","2.50%"
"07/25/2024","247.32","260.98","262.00","245.59","9.37M","-9.09%"
"07/24/2024","272.06","280.57","281.00","268.78","2.65M","-3.31%"
"07/23/2024","281.37","285.20","287.25","281.20","1.49M","-1.27%"
"07/22/2024","285.00","281.80","286.43","280.85","1.46M","1.70%"
"07/19/2024","280.23","286.94","287.00","279.16","1.62M","-1.72%"
"07/18/2024","285.13","293.69","295.35","284.69","1.89M","-2.58%"
"07/17/2024","292.68","289.95","293.94","288.51","1.58M","0.32%"
"07/16/2024","291.76","284.66","291.87","282.04","1.88M","2.83%"
"07/15/2024","283.72","289.50","290.00","282.58","2.20M","-2.52%"
"07/12/2024","291.06","292.81","296.38","287.78","1.80M","0.64%"
"07/11/2024","289.20","289.40","295.50","288.39","1.80M","0.39%"
"07/10/2024","288.08","288.79","290.21","283.49","2.19M","-0.62%"
"07/09/2024","289.87","293.70","293.70","288.11","2.01M","-1.41%"
"07/08/2024","294.03","300.42","301.91","293.51","1.71M","-1.38%"
"07/05/2024","298.14","303.14","303.14","296.80","1.25M","-0.73%"
"07/03/2024","300.32","301.67","302.59","299.02","952.00K","-0.45%"
"07/02/2024","301.67","300.45","304.39","299.68","1.43M","-0.23%"
"07/01/2024","302.36","300.73","302.58","295.49","1.53M","1.23%"
"06/28/2024","298.70","302.00","303.25","296.21","3.50M","-3.11%"
"06/27/2024","308.30","304.16","308.44","303.18","1.41M","1.14%"
"06/26/2024","304.81","308.78","309.88","304.37","1.27M","-1.38%"
"06/25/2024","309.07","312.34","317.21","307.69","1.99M","-1.03%"
"06/24/2024","312.28","312.29","316.53","311.74","2.16M","0.15%"
"06/21/2024","311.82","311.27","313.45","309.10","3.25M","0.34%"
"06/20/2024","310.77","314.38","314.66","310.22","1.63M","-0.79%"
"06/18/2024","313.23","312.12","315.50","311.52","1.84M","0.10%"
"06/17/2024","312.91","304.28","313.22","303.75","1.95M","2.25%"
"06/14/2024","306.01","305.12","308.00","303.16","1.47M","-0.48%"
"06/13/2024","307.49","306.88","309.14","303.87","2.08M","-0.75%"
"06/12/2024","309.81","321.89","321.95","307.88","2.68M","-2.59%"
"06/11/2024","318.04","315.39","319.70","314.77","1.76M","-0.07%"
"06/10/2024","318.26","314.66","322.03","314.01","2.13M","0.13%"
"06/07/2024","317.86","321.19","329.73","316.26","4.03M","-1.60%"
"06/06/2024","323.03","337.01","337.76","314.65","12.29M","4.79%"
"06/05/2024","308.27","308.76","308.76","301.05","6.61M","0.49%"
"06/04/2024","306.78","303.90","309.28","301.34","2.15M","0.05%"
"06/03/2024","306.62","311.26","314.13","305.79","2.10M","-1.72%"
