"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","206.93","207.61","211.39","206.75","5.10M","0.15%"
"10/24/2024","206.61","202.82","206.91","201.21","9.31M","2.41%"
"10/23/2024","201.74","201.04","203.00","198.00","10.55M","4.01%"
"10/22/2024","193.97","193.61","195.29","192.85","7.91M","-0.92%"
"10/21/2024","195.77","196.74","197.93","194.12","4.95M","-1.36%"
"10/18/2024","198.47","199.48","199.96","196.74","4.03M","0.09%"
"10/17/2024","198.30","204.90","204.90","198.11","4.69M","-1.19%"
"10/16/2024","200.69","201.98","202.10","199.28","3.31M","0.43%"
"10/15/2024","199.84","208.02","208.65","198.90","6.82M","-4.22%"
"10/14/2024","208.65","206.14","208.96","205.64","3.29M","1.73%"
"10/11/2024","205.11","201.37","205.79","201.37","2.82M","1.30%"
"10/10/2024","202.47","201.96","203.35","200.88","3.65M","-1.22%"
"10/09/2024","204.97","201.55","205.50","201.38","3.22M","1.36%"
"10/08/2024","202.21","200.98","203.25","199.24","6.28M","0.47%"
"10/07/2024","201.27","200.59","202.78","199.67","2.77M","-0.71%"
"10/04/2024","202.71","206.10","206.36","201.34","4.09M","0.52%"
"10/03/2024","201.67","201.08","203.44","200.27","3.17M","-0.87%"
"10/02/2024","203.43","202.91","205.75","201.71","4.39M","0.91%"
"10/01/2024","201.60","206.06","207.01","199.70","9.04M","-2.41%"
"09/30/2024","206.57","206.10","208.70","204.10","5.46M","-1.23%"
"09/27/2024","209.14","210.83","211.71","208.81","3.07M","-0.06%"
"09/26/2024","209.26","210.32","210.57","205.06","4.52M","2.05%"
"09/25/2024","205.06","203.14","205.37","203.12","4.12M","0.06%"
"09/24/2024","204.94","206.06","208.42","204.61","5.57M","0.53%"
"09/23/2024","203.85","203.89","204.82","202.84","2.76M","0.27%"
"09/20/2024","203.30","204.38","205.26","201.08","14.50M","-2.07%"
"09/19/2024","207.60","207.61","210.56","205.68","5.16M","3.43%"
"09/18/2024","200.71","202.68","204.97","199.96","4.26M","-0.34%"
"09/17/2024","201.39","199.44","202.25","198.93","3.48M","1.47%"
"09/16/2024","198.47","198.72","199.50","195.99","3.72M","-0.73%"
"09/13/2024","199.93","197.11","200.88","196.83","4.62M","2.02%"
"09/12/2024","195.98","201.60","202.00","194.67","7.20M","-3.18%"
"09/11/2024","202.41","199.70","202.82","195.04","5.90M","1.31%"
"09/10/2024","199.80","201.17","201.27","197.03","4.86M","-0.68%"
"09/09/2024","201.17","202.09","202.29","198.99","4.86M","1.88%"
"09/06/2024","197.45","201.50","201.87","196.73","6.31M","-2.03%"
"09/05/2024","201.55","202.30","204.27","199.68","4.11M","-1.20%"
"09/04/2024","204.00","201.62","205.74","200.29","4.65M","1.08%"
"09/03/2024","201.83","211.95","211.95","201.19","9.28M","-5.84%"
"08/30/2024","214.34","212.58","214.66","211.40","5.86M","1.54%"
"08/29/2024","211.09","210.64","214.41","209.65","5.62M","1.61%"
"08/28/2024","207.74","210.63","211.27","205.97","4.00M","-1.40%"
"08/27/2024","210.69","207.92","211.11","207.56","4.37M","1.17%"
"08/26/2024","208.25","209.00","210.01","207.55","5.81M","-0.78%"
"08/23/2024","209.88","206.82","210.51","206.31","6.11M","3.00%"
"08/22/2024","203.77","208.46","209.64","202.80","6.88M","-2.21%"
