"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","483.72","483.42","488.34","482.52","2.43M","0.18%"
"10/24/2024","482.87","486.63","488.47","480.06","2.10M","-0.45%"
"10/23/2024","485.03","492.00","493.83","483.39","2.02M","-1.64%"
"10/22/2024","493.11","496.43","497.34","488.36","2.39M","-0.92%"
"10/21/2024","497.71","494.60","500.65","492.96","1.68M","0.57%"
"10/18/2024","494.90","491.29","499.00","491.05","2.01M","-0.39%"
"10/17/2024","496.83","506.51","507.50","495.23","2.77M","-1.14%"
"10/16/2024","502.54","506.39","506.84","500.25","1.86M","-1.08%"
"10/15/2024","508.03","513.82","517.77","506.80","3.61M","-0.32%"
"10/14/2024","509.65","501.80","514.26","500.41","3.41M","2.87%"
"10/11/2024","495.42","504.78","507.98","494.90","2.99M","-1.62%"
"10/10/2024","503.57","490.54","506.45","489.35","2.78M","1.92%"
"10/09/2024","494.08","495.88","495.88","492.32","2.87M","-0.44%"
"10/08/2024","496.24","492.45","500.00","486.40","3.55M","1.83%"
"10/07/2024","487.30","503.96","504.87","486.40","4.87M","-3.93%"
"10/04/2024","507.22","507.29","508.56","503.59","1.95M","0.68%"
"10/03/2024","503.80","501.02","509.81","498.59","1.92M","-0.40%"
"10/02/2024","505.81","503.87","510.19","502.82","1.98M","0.60%"
"10/01/2024","502.80","517.45","519.00","502.50","3.73M","-2.89%"
"09/30/2024","517.78","513.83","518.47","511.74","2.59M","0.45%"
"09/27/2024","515.48","516.52","516.68","512.30","2.72M","0.02%"
"09/26/2024","515.38","520.51","521.35","512.11","3.28M","-0.49%"
"09/25/2024","517.90","526.02","526.18","516.24","3.21M","-1.18%"
"09/24/2024","524.07","527.72","530.30","521.71","2.84M","-0.72%"
"09/23/2024","527.87","525.71","532.00","524.96","2.11M","1.07%"
"09/20/2024","522.30","526.44","528.63","515.72","6.10M","-0.79%"
"09/19/2024","526.44","518.81","527.48","518.02","3.58M","3.60%"
"09/18/2024","508.13","517.01","517.58","506.49","4.00M","-1.34%"
"09/17/2024","515.03","524.29","527.10","514.58","5.16M","-1.24%"
"09/16/2024","521.50","537.40","537.69","521.26","5.25M","-2.86%"
"09/13/2024","536.87","532.57","540.27","526.60","10.42M","-8.47%"
"09/12/2024","586.55","581.45","587.75","572.98","5.61M","1.06%"
"09/11/2024","580.38","573.01","581.24","559.35","2.68M","1.03%"
"09/10/2024","574.48","576.75","577.80","567.14","2.03M","0.81%"
"09/09/2024","569.88","567.69","574.57","564.44","2.00M","1.15%"
"09/06/2024","563.41","570.90","573.31","558.00","2.10M","-0.80%"
"09/05/2024","567.93","570.75","573.39","562.53","1.57M","-1.27%"
"09/04/2024","575.25","568.87","578.86","565.76","1.62M","0.74%"
"09/03/2024","571.04","576.30","586.70","566.79","2.76M","-0.59%"
"08/30/2024","574.41","572.20","575.65","568.29","1.98M","0.84%"
"08/29/2024","569.63","567.05","578.40","567.05","1.96M","1.62%"
"08/28/2024","560.54","568.22","569.59","557.67","1.29M","-1.28%"
"08/27/2024","567.82","554.40","569.52","554.34","1.40M","1.50%"
"08/26/2024","559.44","555.03","560.26","555.03","1.39M","0.20%"
"08/23/2024","558.30","565.45","566.52","552.50","2.02M","0.15%"
"08/22/2024","557.44","567.07","572.00","555.65","1.63M","-1.48%"
"08/21/2024","565.79","562.13","566.60","557.91","1.40M","0.63%"
"08/20/2024","562.25","564.48","568.18","559.61","1.22M","-0.15%"
"08/19/2024","563.12","550.59","563.77","550.59","1.42M","1.75%"
"08/16/2024","553.46","552.35","554.76","547.80","1.54M","-0.13%"
"08/15/2024","554.16","545.19","557.22","545.01","2.18M","2.66%"
"08/14/2024","539.79","536.62","542.92","533.20","1.92M","0.85%"
"08/13/2024","535.22","530.93","537.72","527.90","3.06M","0.81%"
"08/12/2024","530.93","536.04","538.08","525.77","1.45M","-1.00%"
"08/09/2024","536.30","528.02","537.28","528.02","1.27M","1.14%"
"08/08/2024","530.24","520.59","531.07","519.56","2.16M","3.24%"
"08/07/2024","513.62","520.95","531.01","512.86","1.66M","-0.11%"
"08/06/2024","514.20","513.69","519.16","509.01","2.08M","0.96%"
"08/05/2024","509.32","504.23","515.90","500.00","3.43M","-3.20%"
"08/02/2024","526.17","535.78","536.84","519.68","2.73M","-3.70%"
"08/01/2024","546.41","549.99","561.98","540.24","2.08M","-0.95%"
"07/31/2024","551.65","547.05","555.55","543.77","2.78M","2.40%"
"07/30/2024","538.71","541.85","543.67","530.95","1.57M","0.39%"
"07/29/2024","536.61","544.30","544.30","535.19","1.59M","-1.07%"
"07/26/2024","542.44","535.35","545.50","533.33","2.09M","1.93%"
"07/25/2024","532.15","536.80","542.28","527.59","2.14M","0.21%"
"07/24/2024","531.04","543.80","544.71","530.35","2.63M","-2.74%"
"07/23/2024","546.01","556.49","557.25","544.44","2.36M","-1.59%"
"07/22/2024","554.82","558.65","560.19","552.71","2.39M","0.69%"
"07/19/2024","551.00","557.05","561.09","548.96","2.60M","-1.05%"
"07/18/2024","556.85","564.18","564.26","556.07","2.18M","-1.11%"
