"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","188.73","190.54","192.97","188.23","1.59M","-0.33%"
"10/24/2024","189.35","188.00","191.75","187.37","1.40M","0.31%"
"10/23/2024","188.76","191.79","192.86","186.99","1.34M","-2.64%"
"10/22/2024","193.87","190.84","195.95","190.35","1.54M","0.54%"
"10/21/2024","192.83","190.30","193.69","189.81","1.73M","0.59%"
"10/18/2024","191.70","188.79","193.88","186.53","1.50M","1.70%"
"10/17/2024","188.50","191.20","191.67","186.12","1.21M","-0.45%"
"10/16/2024","189.35","191.90","193.00","187.24","1.63M","-0.81%"
"10/15/2024","190.89","193.00","195.61","190.27","1.85M","-1.60%"
"10/14/2024","194.00","189.81","196.25","189.35","3.63M","3.71%"
"10/11/2024","187.06","185.50","192.31","185.37","2.97M","1.66%"
"10/10/2024","184.00","176.73","184.53","175.59","2.06M","3.90%"
"10/09/2024","177.10","168.02","177.63","168.02","1.90M","5.40%"
"10/08/2024","168.02","167.18","170.90","165.92","1.40M","0.29%"
"10/07/2024","167.53","170.24","171.30","167.25","1.67M","-2.03%"
"10/04/2024","171.00","162.00","171.84","161.08","1.92M","6.58%"
"10/03/2024","160.44","158.00","161.19","157.79","974.49K","0.12%"
"10/02/2024","160.24","161.92","162.63","159.02","926.49K","-0.73%"
"10/01/2024","161.42","163.23","163.38","155.37","2.57M","1.64%"
"09/30/2024","158.81","161.13","162.24","157.95","1.17M","-1.49%"
"09/27/2024","161.22","163.99","163.99","160.41","1.43M","-1.18%"
"09/26/2024","163.14","163.99","164.68","160.75","1.35M","0.77%"
"09/25/2024","161.90","161.85","163.79","160.45","1.72M","-0.44%"
"09/24/2024","162.62","161.77","165.15","161.01","2.23M","0.40%"
"09/23/2024","161.98","163.69","164.13","160.82","1.29M","-0.67%"
"09/20/2024","163.08","163.11","163.92","161.52","2.36M","-0.01%"
"09/19/2024","163.10","163.07","166.88","161.10","1.96M","2.04%"
"09/18/2024","159.84","156.68","163.31","156.01","2.45M","2.58%"
"09/17/2024","155.82","159.88","162.00","154.07","3.33M","-5.65%"
"09/16/2024","165.15","163.55","165.75","162.99","1.41M","0.86%"
"09/13/2024","163.74","165.78","166.37","162.81","1.71M","-1.18%"
"09/12/2024","165.69","166.35","168.67","165.32","1.08M","-0.25%"
"09/11/2024","166.10","163.01","167.20","161.39","1.36M","2.37%"
"09/10/2024","162.25","163.71","163.71","157.94","1.47M","-0.27%"
"09/09/2024","162.69","162.64","165.84","161.98","1.34M","0.86%"
"09/06/2024","161.31","162.49","165.37","159.00","1.95M","-0.36%"
"09/05/2024","161.90","160.00","162.70","159.10","1.74M","-0.25%"
"09/04/2024","162.30","161.29","165.39","160.65","1.54M","-0.92%"
"09/03/2024","163.80","163.25","165.49","162.42","1.51M","-1.09%"
"08/30/2024","165.60","167.84","168.31","165.39","1.43M","-1.10%"
"08/29/2024","167.45","163.18","169.72","163.18","1.20M","3.40%"
"08/28/2024","161.94","163.00","163.87","159.93","1.59M","-1.45%"
"08/27/2024","164.32","164.09","166.89","163.85","1.50M","-0.42%"
"08/26/2024","165.02","160.34","165.98","160.34","1.97M","3.14%"
"08/23/2024","160.00","158.28","160.27","155.85","1.31M","2.65%"
"08/22/2024","155.87","156.65","161.12","154.91","1.29M","-1.56%"
"08/21/2024","158.34","156.29","158.40","155.60","1.41M","1.31%"
"08/20/2024","156.29","158.40","158.62","154.41","1.88M","-1.70%"
"08/19/2024","159.00","154.21","159.07","152.79","2.05M","3.11%"
"08/16/2024","154.21","146.08","154.74","145.88","2.50M","5.03%"
"08/15/2024","146.83","145.10","147.29","144.85","2.07M","2.32%"
"08/14/2024","143.50","142.32","145.34","142.32","2.11M","0.21%"
"08/13/2024","143.20","141.34","146.17","139.23","3.87M","1.89%"
"08/12/2024","140.55","140.79","142.39","139.52","3.06M","-0.62%"
"08/09/2024","141.43","138.33","142.76","137.27","1.53M","1.90%"
"08/08/2024","138.79","139.00","140.17","136.84","1.53M","1.00%"
"08/07/2024","137.41","142.09","145.30","137.34","2.64M","-1.74%"
"08/06/2024","139.85","143.79","143.79","139.43","2.63M","-2.10%"
"08/05/2024","142.85","136.69","149.56","135.29","4.18M","-0.58%"
"08/02/2024","143.68","152.67","154.68","141.21","8.36M","-17.06%"
"08/01/2024","173.24","176.73","179.19","170.11","2.38M","-1.89%"
"07/31/2024","176.57","178.47","178.69","174.96","1.18M","1.26%"
"07/30/2024","174.38","178.00","179.49","172.58","1.17M","-2.11%"
"07/29/2024","178.14","177.49","181.24","177.27","1.04M","0.46%"
"07/26/2024","177.32","179.69","179.69","174.58","1.31M","-0.50%"
"07/25/2024","178.22","171.01","182.27","169.85","2.34M","6.34%"
"07/24/2024","167.60","172.59","174.26","167.25","1.47M","-4.29%"
"07/23/2024","175.12","170.17","177.07","168.39","1.55M","-0.24%"
"07/22/2024","175.55","178.14","178.72","174.34","1.22M","-0.54%"
"07/19/2024","176.50","175.00","177.07","174.41","1.02M","0.23%"
"07/18/2024","176.10","179.70","182.38","175.49","1.08M","-1.58%"
"07/17/2024","178.92","184.38","184.43","178.87","1.40M","-2.32%"
"07/16/2024","183.17","179.95","184.54","179.95","959.32K","1.79%"
"07/15/2024","179.95","181.60","182.16","178.94","1.04M","-0.83%"
"07/12/2024","181.45","176.73","182.76","176.73","1.48M","2.15%"
"07/11/2024","177.63","177.56","181.58","176.57","1.30M","1.82%"
"07/10/2024","174.45","178.49","178.49","168.37","1.89M","-1.98%"
"07/09/2024","177.98","182.54","182.62","177.09","1.75M","-2.10%"
"07/08/2024","181.80","185.26","185.87","180.05","1.33M","-2.95%"
"07/05/2024","187.32","181.97","188.06","181.10","938.33K","2.78%"
"07/03/2024","182.26","182.70","185.01","181.43","816.03K","-0.01%"
"07/02/2024","182.28","183.49","186.32","179.17","1.77M","2.26%"
"07/01/2024","178.25","176.88","178.46","173.94","1.11M","0.77%"
"06/28/2024","176.88","173.52","178.39","172.91","1.85M","2.25%"
"06/27/2024","172.99","171.66","176.64","171.20","2.13M","0.77%"
"06/26/2024","171.66","167.45","171.90","166.06","1.98M","2.51%"
"06/25/2024","167.45","165.49","168.19","163.00","1.35M","1.64%"
"06/24/2024","164.75","162.05","165.71","160.67","1.75M","1.41%"
"06/21/2024","162.46","158.72","163.44","157.15","3.45M","3.14%"
"06/20/2024","157.52","153.42","157.88","152.34","1.49M","2.83%"
"06/18/2024","153.18","155.50","155.97","152.70","1.30M","-2.20%"
"06/17/2024","156.62","157.50","158.52","154.48","1.54M","-2.17%"
"06/14/2024","160.09","157.49","160.39","156.11","1.44M","2.61%"
"06/13/2024","156.02","162.83","163.71","155.13","1.74M","-4.18%"
"06/12/2024","162.83","166.01","166.35","162.38","1.24M","-0.20%"
"06/11/2024","163.16","161.82","163.52","161.42","1.08M","0.61%"
"06/10/2024","162.17","162.87","164.84","161.41","1.10M","-0.73%"
"06/07/2024","163.36","161.75","163.60","159.52","1.01M","-0.06%"
"06/06/2024","163.46","158.00","164.69","157.55","1.75M","3.53%"
"06/05/2024","157.88","158.52","159.33","156.71","1.59M","-0.04%"
"06/04/2024","157.94","158.01","161.90","157.05","1.77M","-0.93%"
"06/03/2024","159.42","158.46","159.54","156.28","1.55M","1.63%"
"05/31/2024","156.86","160.24","161.47","154.02","4.39M","-2.20%"
"05/30/2024","160.39","162.93","163.98","159.31","3.05M","-3.24%"
"05/29/2024","165.76","160.68","166.93","159.49","4.53M","0.57%"
"05/28/2024","164.82","168.81","168.81","163.83","3.90M","-2.39%"
"05/24/2024","168.86","172.95","173.60","168.71","1.93M","-3.05%"
"05/23/2024","174.18","175.90","176.58","172.63","1.06M","-0.35%"
"05/22/2024","174.80","179.00","179.00","172.71","1.64M","-1.83%"
"05/21/2024","178.05","178.50","179.46","177.60","847.78K","-1.00%"
"05/20/2024","179.84","179.71","180.25","177.91","1.38M","0.07%"
"05/17/2024","179.72","181.58","183.14","178.87","1.20M","-1.37%"
"05/16/2024","182.21","183.35","184.03","179.94","1.62M","-1.09%"
"05/15/2024","184.21","186.73","186.84","181.97","1.42M","0.07%"
"05/14/2024","184.08","182.83","186.09","182.26","1.13M","0.68%"
"05/13/2024","182.83","181.67","182.98","179.92","1.25M","1.71%"
"05/10/2024","179.75","180.00","183.00","178.89","835.33K","-0.06%"
"05/09/2024","179.85","180.00","181.97","178.59","776.83K","0.75%"
"05/08/2024","178.52","181.21","182.00","178.08","1.17M","-3.04%"
"05/07/2024","184.12","181.29","185.34","178.95","1.35M","1.29%"
"05/06/2024","181.77","184.50","186.32","180.78","1.47M","-0.95%"
"05/03/2024","183.52","186.30","189.48","182.02","1.53M","-0.02%"
"05/02/2024","183.55","179.30","186.65","176.67","3.23M","6.24%"
"05/01/2024","172.77","173.36","178.40","168.20","1.68M","0.27%"
"04/30/2024","172.30","174.66","176.29","171.00","2.67M","-2.69%"
"04/29/2024","177.07","180.51","182.37","175.09","2.19M","-1.33%"
"04/26/2024","179.45","182.73","183.90","172.35","5.87M","-9.56%"
"04/25/2024","198.41","195.00","199.60","191.83","2.23M","-0.30%"
"04/24/2024","199.01","198.54","202.05","198.01","838.21K","-0.22%"
"04/23/2024","199.44","194.11","201.53","193.88","957.40K","2.66%"
"04/22/2024","194.27","192.65","196.58","189.08","1.69M","1.42%"
"04/19/2024","191.55","193.63","194.79","189.49","1.77M","-1.06%"
"04/18/2024","193.61","196.45","198.86","193.52","1.09M","-0.75%"
"04/17/2024","195.07","195.28","198.38","194.96","1.39M","0.11%"
"04/16/2024","194.85","191.28","195.47","191.20","2.38M","1.57%"
"04/15/2024","191.84","206.88","208.83","191.69","2.11M","-7.11%"
"04/12/2024","206.53","210.00","213.25","205.72","1.37M","-3.78%"
"04/11/2024","214.65","213.75","217.46","209.20","2.28M","4.84%"
"04/10/2024","204.74","198.15","205.41","197.45","1.54M","0.90%"
"04/09/2024","202.92","200.80","207.40","200.50","1.70M","2.20%"
"04/08/2024","198.55","196.44","198.94","194.23","783.48K","0.98%"
"04/05/2024","196.62","191.31","199.10","191.31","1.19M","2.24%"
"04/04/2024","192.32","197.52","199.22","192.29","1.28M","-1.50%"
"04/03/2024","195.24","194.79","197.55","194.68","1.22M","-0.40%"
"04/02/2024","196.02","191.11","196.35","190.29","1.82M","1.37%"
"04/01/2024","193.37","195.20","196.40","192.32","924.00K","-0.89%"
"03/28/2024","195.11","192.79","195.60","191.35","1.13M","1.02%"
"03/27/2024","193.14","194.01","194.37","191.14","920.63K","0.59%"
"03/26/2024","192.00","195.10","195.10","191.65","1.67M","-0.65%"
"03/25/2024","193.26","191.94","194.13","189.50","2.22M","0.38%"
"03/22/2024","192.53","196.45","196.54","191.27","2.27M","-2.40%"
"03/21/2024","197.26","199.55","201.07","196.86","1.70M","0.53%"
"03/20/2024","196.22","195.09","196.69","193.22","2.66M","-0.11%"
"03/19/2024","196.43","193.07","197.40","189.87","2.30M","-0.29%"
"03/18/2024","197.01","196.12","198.45","195.00","1.89M","1.33%"
"03/15/2024","194.43","201.05","203.08","194.00","3.15M","-4.08%"
"03/14/2024","202.70","207.34","207.34","200.69","1.93M","-2.42%"
"03/13/2024","207.73","215.49","215.50","207.49","2.23M","-4.43%"
"03/12/2024","217.36","215.68","217.82","213.29","1.17M","0.80%"
"03/11/2024","215.63","210.37","216.64","208.95","1.70M","3.27%"
"03/08/2024","208.80","204.40","211.07","204.40","1.78M","2.88%"
"03/07/2024","202.96","200.00","203.60","195.65","1.47M","2.43%"
"03/06/2024","198.14","199.94","200.87","194.08","1.06M","0.92%"
"03/05/2024","196.33","203.95","205.23","193.47","1.70M","-5.43%"
"03/04/2024","207.60","209.48","209.48","203.37","1.03M","-0.76%"
"03/01/2024","209.20","207.42","209.41","204.29","1.57M","0.86%"
"02/29/2024","207.42","205.66","209.44","205.00","1.93M","0.18%"
"02/28/2024","207.05","203.62","208.49","202.00","1.14M","0.60%"
"02/27/2024","205.82","205.82","208.65","204.15","769.73K","0.57%"
"02/26/2024","204.66","203.76","207.10","201.59","896.46K","0.11%"
"02/23/2024","204.44","205.50","207.49","204.33","823.17K","-0.48%"
"02/22/2024","205.43","209.10","210.38","204.20","1.08M","0.65%"
"02/21/2024","204.11","201.01","205.51","199.95","1.41M","-0.33%"
"02/20/2024","204.78","205.55","206.49","201.05","1.77M","-1.47%"
"02/16/2024","207.84","212.33","214.00","207.19","1.33M","-2.48%"
"02/15/2024","213.12","215.90","216.65","212.24","1.89M","-1.28%"
"02/14/2024","215.89","212.40","216.09","209.31","1.29M","2.77%"
"02/13/2024","210.07","205.00","213.87","203.27","1.72M","-2.82%"
"02/12/2024","216.17","218.26","221.00","216.09","1.12M","-1.18%"
"02/09/2024","218.76","214.33","220.99","211.24","2.08M","3.05%"
"02/08/2024","212.29","208.84","216.39","208.84","2.03M","1.35%"
"02/07/2024","209.46","214.11","215.70","208.50","1.59M","-0.85%"
"02/06/2024","211.26","216.14","216.47","205.83","2.71M","-1.76%"
"02/05/2024","215.05","216.52","220.43","213.10","2.92M","-1.08%"
"02/02/2024","217.39","230.13","231.56","211.05","9.35M","-14.72%"
"02/01/2024","254.90","253.50","256.88","250.93","2.53M","2.05%"
"01/31/2024","249.77","252.98","257.00","248.34","2.30M","-2.98%"
"01/30/2024","257.43","254.80","258.69","252.96","1.54M","0.69%"
"01/29/2024","255.67","246.63","257.15","246.63","1.81M","3.18%"
"01/26/2024","247.79","242.32","249.50","241.14","1.42M","1.41%"
"01/25/2024","244.35","246.73","247.08","240.20","1.65M","0.52%"
"01/24/2024","243.08","254.09","254.09","242.66","1.40M","-2.16%"
"01/23/2024","248.45","248.12","248.88","243.83","1.58M","1.16%"
"01/22/2024","245.59","249.00","253.83","244.57","2.28M","1.08%"
"01/19/2024","242.96","240.55","243.48","238.00","1.03M","1.48%"
"01/18/2024","239.42","240.58","241.92","236.50","1.09M","1.03%"
"01/17/2024","236.97","237.70","238.53","231.92","1.39M","-1.49%"
"01/16/2024","240.56","237.89","244.01","233.24","1.54M","1.50%"
"01/12/2024","237.00","243.43","243.43","235.88","1.28M","-2.13%"
"01/11/2024","242.16","245.73","249.08","240.39","1.23M","-0.84%"
"01/10/2024","244.21","236.36","244.82","235.50","1.41M","3.79%"
"01/09/2024","235.30","231.61","238.62","231.58","853.66K","-0.12%"
"01/08/2024","235.59","227.93","236.57","227.87","1.10M","4.20%"
"01/05/2024","226.10","221.68","230.67","221.68","1.22M","1.47%"
"01/04/2024","222.82","220.29","224.37","218.85","1.37M","1.26%"
"01/03/2024","220.05","223.00","223.33","219.31","1.30M","-2.92%"
"01/02/2024","226.67","235.01","235.18","225.30","1.96M","-4.70%"
"12/29/2023","237.86","241.22","242.70","237.08","855.96K","-1.39%"
"12/28/2023","241.22","242.97","242.97","240.23","736.78K","-0.76%"
"12/27/2023","243.06","245.95","247.65","242.44","1.21M","-0.81%"
"12/26/2023","245.05","243.12","247.84","241.63","1.17M","1.76%"
"12/22/2023","240.80","247.45","248.00","238.65","1.87M","-1.73%"
"12/21/2023","245.03","240.00","245.33","238.20","1.76M","3.13%"
"12/20/2023","237.60","233.07","238.90","230.09","2.59M","1.94%"
"12/19/2023","233.07","229.30","235.00","229.16","1.68M","1.97%"
"12/18/2023","228.56","228.64","231.60","227.25","1.36M","-0.44%"
"12/15/2023","229.56","223.79","231.16","223.35","4.36M","3.44%"
"12/14/2023","221.92","219.59","225.31","217.52","2.86M","3.15%"
"12/13/2023","215.14","203.53","217.70","202.79","2.85M","6.50%"
"12/12/2023","202.00","199.09","202.03","195.19","1.87M","1.72%"
"12/11/2023","198.59","193.43","199.15","193.02","1.54M","3.24%"
"12/08/2023","192.36","185.75","193.39","184.50","1.12M","2.40%"
"12/07/2023","187.85","188.92","190.03","186.21","851.39K","-0.46%"
"12/06/2023","188.72","191.66","192.68","188.17","1.26M","-1.04%"
"12/05/2023","190.70","194.54","194.61","188.84","1.35M","-1.92%"
"12/04/2023","194.43","193.39","194.93","187.79","1.66M","-0.35%"
"12/01/2023","195.11","190.25","195.57","189.18","1.11M","2.18%"
"11/30/2023","190.95","196.79","200.33","188.88","1.80M","-2.35%"
"11/29/2023","195.55","190.29","199.36","189.49","2.30M","3.79%"
"11/28/2023","188.41","179.50","189.88","179.45","2.00M","4.49%"
"11/27/2023","180.32","180.53","183.92","180.06","1.21M","-0.70%"
"11/24/2023","181.59","179.74","181.90","178.63","477.91K","0.58%"
"11/22/2023","180.55","185.63","186.00","180.36","1.04M","-2.44%"
"11/21/2023","185.07","183.61","186.60","181.88","1.01M","-0.55%"
"11/20/2023","186.10","184.51","190.42","184.51","1.35M","0.60%"
"11/17/2023","184.99","185.82","186.49","182.57","972.84K","-0.81%"
"11/16/2023","186.50","186.29","187.75","183.06","1.22M","-0.44%"
"11/15/2023","187.32","186.43","191.37","185.36","1.84M","0.60%"
"11/14/2023","186.20","180.66","186.66","180.00","1.76M","6.38%"
"11/13/2023","175.04","174.19","176.64","173.50","1.20M","-0.71%"
"11/10/2023","176.29","171.55","176.93","169.09","1.27M","3.19%"
"11/09/2023","170.84","174.99","175.86","169.84","1.41M","-2.09%"
"11/08/2023","174.48","179.18","179.18","172.33","1.23M","-2.49%"
"11/07/2023","178.93","176.60","182.77","173.29","1.52M","3.10%"
"11/06/2023","173.55","177.50","178.30","170.26","1.53M","-1.89%"
"11/03/2023","176.90","168.24","180.74","165.51","4.15M","-2.48%"
"11/02/2023","181.40","183.08","183.59","179.10","3.34M","2.00%"
"11/01/2023","177.85","180.70","181.55","175.35","1.75M","-1.54%"
"10/31/2023","180.64","177.72","182.29","175.69","1.62M","1.49%"
"10/30/2023","177.99","178.81","179.64","173.58","978.35K","0.87%"
"10/27/2023","176.46","178.78","179.97","174.01","839.33K","0.25%"
"10/26/2023","176.02","179.61","181.66","174.26","1.34M","-1.44%"
"10/25/2023","178.59","186.86","187.52","177.10","1.92M","-6.30%"
"10/24/2023","190.60","188.74","190.83","185.99","860.47K","2.50%"
"10/23/2023","185.96","184.42","188.66","181.36","1.01M","-0.59%"
"10/20/2023","187.07","191.19","191.19","181.82","1.68M","-2.77%"
"10/19/2023","192.40","196.58","200.58","191.41","1.07M","-0.83%"
"10/18/2023","194.01","197.55","198.93","191.81","1.12M","-1.91%"
"10/17/2023","197.79","193.30","201.56","192.69","1.64M","0.77%"
"10/16/2023","196.27","188.70","199.50","188.68","1.71M","4.23%"
"10/13/2023","188.31","186.56","190.50","186.22","2.32M","1.02%"
"10/12/2023","186.40","193.00","193.29","184.97","3.03M","-6.54%"
"10/11/2023","199.45","207.85","208.43","198.74","1.42M","-3.18%"
"10/10/2023","206.00","202.58","208.86","202.42","1.12M","1.69%"
"10/09/2023","202.58","197.65","202.63","196.51","775.09K","1.69%"
"10/06/2023","199.21","184.38","201.80","184.38","1.45M","6.05%"
"10/05/2023","187.85","189.82","191.24","184.24","1.46M","-1.05%"
"10/04/2023","189.84","192.26","194.21","189.46","1.25M","-0.41%"
"10/03/2023","190.62","193.49","198.34","189.42","1.10M","-3.46%"
"10/02/2023","197.46","201.80","201.82","195.82","1.22M","-2.01%"
"09/29/2023","201.51","199.60","203.87","199.21","957.75K","2.32%"
"09/28/2023","196.94","194.97","200.52","192.60","1.36M","-0.29%"
"09/27/2023","197.52","192.92","200.65","192.92","1.52M","3.20%"
"09/26/2023","191.40","194.65","196.77","189.74","1.09M","-2.58%"
"09/25/2023","196.46","194.13","197.05","193.32","721.09K","0.51%"
"09/22/2023","195.46","190.48","197.59","190.48","1.08M","2.90%"
"09/21/2023","189.95","196.34","197.85","189.30","1.54M","-5.41%"
"09/20/2023","200.82","207.11","208.92","200.54","751.07K","-2.21%"
"09/19/2023","205.36","204.62","205.95","199.86","688.05K","0.23%"
"09/18/2023","204.88","202.01","208.60","202.01","1.12M","0.91%"
"09/15/2023","203.03","208.44","208.44","200.54","1.97M","-3.04%"
"09/14/2023","209.40","209.87","210.35","206.06","671.80K","0.24%"
"09/13/2023","208.89","210.87","212.99","208.25","674.45K","-1.10%"
