"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","89.79","90.15","90.92","89.58","2.66M","0.35%"
"10/24/2024","89.48","89.34","89.86","88.58","2.40M","-0.52%"
"10/23/2024","89.95","91.28","91.49","89.73","3.87M","-2.21%"
"10/22/2024","91.98","90.85","92.90","90.24","3.65M","0.39%"
"10/21/2024","91.62","92.89","93.36","91.12","4.41M","-2.93%"
"10/18/2024","94.39","95.89","95.95","94.04","4.04M","2.48%"
"10/17/2024","92.11","93.15","93.29","91.69","4.92M","-3.32%"
"10/16/2024","95.27","94.38","96.44","94.15","4.24M","1.38%"
"10/15/2024","93.97","96.47","97.47","93.89","7.74M","-5.19%"
"10/14/2024","99.11","100.96","101.12","98.68","6.88M","-4.52%"
"10/11/2024","103.80","102.65","105.33","101.71","3.46M","-0.26%"
"10/10/2024","104.07","104.44","105.41","102.60","3.17M","0.01%"
"10/09/2024","104.06","102.24","105.21","102.02","5.50M","-1.84%"
"10/08/2024","106.01","106.36","107.82","104.80","8.32M","-7.39%"
"10/07/2024","114.47","113.31","114.99","109.59","9.33M","3.63%"
"10/04/2024","110.46","111.42","111.62","109.26","5.70M","1.13%"
"10/03/2024","109.23","108.61","111.24","107.67","6.41M","-5.12%"
"10/02/2024","115.13","116.04","116.25","112.14","11.70M","4.40%"
"10/01/2024","110.28","105.75","110.39","104.81","6.17M","4.74%"
"09/30/2024","105.29","109.27","111.05","104.84","10.24M","0.11%"
"09/27/2024","105.17","104.15","107.67","103.07","8.50M","2.54%"
"09/26/2024","102.56","101.95","104.84","100.35","14.10M","9.09%"
"09/25/2024","94.01","92.30","95.48","91.83","5.03M","-0.84%"
"09/24/2024","94.81","92.80","94.89","91.62","7.99M","7.40%"
"09/23/2024","88.28","87.07","89.69","87.00","3.52M","2.37%"
"09/20/2024","86.24","87.09","87.58","86.19","1.85M","-0.90%"
"09/19/2024","87.02","87.25","87.60","86.00","3.29M","2.78%"
"09/18/2024","84.67","85.56","85.65","84.20","1.60M","-0.84%"
"09/17/2024","85.39","85.00","86.74","84.97","1.79M","1.56%"
"09/16/2024","84.08","84.60","85.05","83.89","1.61M","0.51%"
"09/13/2024","83.65","83.88","84.09","83.33","1.98M","-0.50%"
"09/12/2024","84.07","83.72","84.44","83.24","1.36M","0.14%"
"09/11/2024","83.95","82.87","84.39","82.60","1.97M","2.32%"
"09/10/2024","82.05","82.17","82.42","80.81","1.81M","0.51%"
"09/09/2024","81.63","80.99","82.04","80.86","1.50M","0.77%"
"09/06/2024","81.01","82.22","82.50","81.00","2.15M","-2.17%"
"09/05/2024","82.81","82.08","83.69","82.08","1.31M","0.52%"
"09/04/2024","82.38","82.91","83.23","82.21","1.56M","-1.23%"
"09/03/2024","83.41","82.67","83.99","82.58","1.49M","-1.43%"
"08/30/2024","84.62","85.40","85.46","84.08","1.90M","0.95%"
"08/29/2024","83.82","83.72","84.10","83.24","1.55M","1.77%"
"08/28/2024","82.36","84.11","84.47","81.92","2.74M","-2.90%"
"08/27/2024","84.82","86.00","86.63","84.79","1.91M","-1.62%"
"08/26/2024","86.22","85.62","87.50","85.30","3.40M","0.61%"
"08/23/2024","85.70","84.19","86.10","84.04","3.43M","-0.10%"
"08/22/2024","85.79","87.45","88.00","84.86","6.37M","-4.40%"
"08/21/2024","89.74","88.14","89.85","87.81","3.57M","2.00%"
"08/20/2024","87.98","89.35","89.71","87.74","2.72M","-2.44%"
"08/19/2024","90.18","89.00","90.45","88.95","3.16M","1.37%"
"08/16/2024","88.96","86.66","89.10","86.66","4.49M","3.23%"
"08/15/2024","86.18","84.88","86.95","84.82","2.50M","2.61%"
"08/14/2024","83.99","85.29","86.01","83.25","3.18M","-2.56%"
"08/13/2024","86.20","85.02","86.54","84.90","1.54M","1.14%"
"08/12/2024","85.23","84.91","86.06","84.83","1.81M","0.15%"
"08/09/2024","85.10","85.39","85.79","84.63","1.89M","-1.66%"
