"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","140.33","142.35","142.76","140.19","1.24M","-0.95%"
"10/24/2024","141.68","142.00","142.47","140.78","1.17M","0.18%"
"10/23/2024","141.43","140.47","141.91","140.01","1.06M","0.06%"
"10/22/2024","141.34","140.47","141.64","139.55","1.31M","0.18%"
"10/21/2024","141.09","141.68","141.91","140.34","834.02K","-0.31%"
"10/18/2024","141.53","142.34","142.49","141.18","1.36M","-0.56%"
"10/17/2024","142.32","143.02","143.22","141.42","1.28M","0.03%"
"10/16/2024","142.28","142.00","142.50","140.82","1.17M","-0.01%"
"10/15/2024","142.30","142.35","144.17","141.79","1.50M","-0.04%"
"10/14/2024","142.35","139.10","142.73","138.58","1.43M","2.49%"
"10/11/2024","138.89","139.99","140.08","138.77","1.50M","-0.29%"
"10/10/2024","139.29","139.39","139.86","138.64","892.79K","-0.39%"
"10/09/2024","139.84","138.23","139.91","137.95","1.16M","1.22%"
"10/08/2024","138.16","138.00","138.57","137.27","1.08M","0.52%"
"10/07/2024","137.44","137.88","138.62","136.97","1.15M","-0.87%"
"10/04/2024","138.65","140.62","140.67","138.32","1.78M","-0.51%"
"10/03/2024","139.36","139.96","141.00","138.77","2.88M","-0.99%"
"10/02/2024","140.76","139.38","142.04","138.54","3.21M","-0.02%"
"10/01/2024","140.79","137.69","141.59","132.18","5.20M","4.92%"
"09/30/2024","134.19","133.04","134.82","132.92","2.81M","0.90%"
"09/27/2024","132.99","133.43","134.15","132.72","1.67M","0.00%"
"09/26/2024","132.99","133.07","133.69","132.14","1.54M","0.40%"
"09/25/2024","132.46","134.04","134.26","132.38","1.81M","-0.88%"
"09/24/2024","133.63","134.06","134.06","132.69","1.69M","-0.32%"
"09/23/2024","134.06","133.86","134.92","132.88","1.35M","0.60%"
"09/20/2024","133.26","133.17","134.46","131.83","2.41M","0.07%"
"09/19/2024","133.17","134.35","134.35","132.26","1.25M","0.51%"
"09/18/2024","132.50","134.98","135.46","132.36","1.44M","-1.80%"
"09/17/2024","134.93","135.03","136.41","134.75","1.26M","-0.19%"
"09/16/2024","135.19","135.42","137.40","134.75","1.24M","0.07%"
"09/13/2024","135.09","134.09","136.40","133.97","1.50M","0.67%"
"09/12/2024","134.19","133.77","134.47","132.36","1.57M","0.90%"
"09/11/2024","132.99","133.14","133.59","129.20","2.32M","-0.84%"
"09/10/2024","134.12","132.70","134.27","131.94","1.23M","1.44%"
"09/09/2024","132.22","130.07","132.32","129.39","1.20M","2.20%"
"09/06/2024","129.38","130.10","131.09","128.92","1.36M","-0.53%"
"09/05/2024","130.07","132.10","132.30","129.34","1.21M","-1.49%"
"09/04/2024","132.04","132.05","133.00","131.08","988.78K","0.08%"
"09/03/2024","131.93","131.07","133.12","130.48","1.60M","0.56%"
"08/30/2024","131.20","129.92","131.39","129.20","1.80M","1.27%"
"08/29/2024","129.55","130.69","131.43","129.04","1.14M","-0.33%"
"08/28/2024","129.98","130.65","132.13","129.56","1.39M","-0.09%"
"08/27/2024","130.10","129.14","130.54","129.14","2.02M","-0.07%"
"08/26/2024","130.19","130.87","131.49","130.11","1.82M","0.15%"
"08/23/2024","130.00","128.39","130.15","127.76","2.12M","1.65%"
"08/22/2024","127.89","127.58","127.93","126.78","1.39M","0.68%"
"08/21/2024","127.03","126.00","127.10","125.45","1.62M","1.42%"
"08/20/2024","125.25","125.09","125.73","124.64","975.23K","0.03%"
"08/19/2024","125.21","125.20","126.21","124.69","1.56M","0.01%"
"08/16/2024","125.20","125.76","125.76","124.90","1.17M","-0.49%"
"08/15/2024","125.82","125.29","126.29","125.29","1.25M","0.58%"
"08/14/2024","125.10","125.36","125.65","124.48","1.64M","-0.25%"
"08/13/2024","125.41","123.68","125.75","123.35","1.28M","1.34%"
"08/12/2024","123.75","124.40","124.68","123.13","1.75M","-0.57%"
"08/09/2024","124.46","124.17","124.72","123.00","1.21M","0.07%"
"08/08/2024","124.37","122.66","124.95","122.07","2.03M","0.93%"
"08/07/2024","123.22","125.01","127.19","123.08","1.88M","-1.60%"
"08/06/2024","125.22","124.70","126.82","124.07","1.55M","0.42%"
"08/05/2024","124.70","127.81","128.00","124.29","2.26M","-2.03%"
"08/02/2024","127.28","126.42","127.52","124.65","2.42M","0.62%"
"08/01/2024","126.49","127.40","128.68","125.61","2.11M","-1.20%"
"07/31/2024","128.02","128.96","129.92","127.93","2.49M","0.08%"
"07/30/2024","127.92","127.18","128.41","127.07","1.66M","0.91%"
"07/29/2024","126.77","126.01","127.11","125.24","971.60K","0.81%"
"07/26/2024","125.75","124.45","126.19","124.26","1.37M","1.43%"
"07/25/2024","123.98","124.10","127.40","123.77","1.83M","0.60%"
"07/24/2024","123.24","124.00","124.08","122.68","2.78M","-0.38%"
"07/23/2024","123.71","122.38","124.23","122.13","1.81M","0.59%"
"07/22/2024","122.98","123.07","123.64","121.33","1.59M","0.24%"
"07/19/2024","122.68","124.48","124.89","122.31","1.82M","-1.26%"
"07/18/2024","124.24","125.55","128.18","123.80","2.76M","-2.03%"
"07/17/2024","126.81","124.58","126.92","124.57","3.49M","2.04%"
"07/16/2024","124.28","121.54","124.31","121.49","1.79M","2.18%"
"07/15/2024","121.63","118.58","121.86","118.58","1.98M","2.81%"
"07/12/2024","118.30","117.82","118.85","117.43","1.45M","1.06%"
"07/11/2024","117.06","116.84","118.52","116.57","1.61M","0.08%"
"07/10/2024","116.97","117.08","117.08","115.40","2.37M","-0.04%"
"07/09/2024","117.02","116.01","117.22","115.80","1.80M","0.73%"
"07/08/2024","116.17","117.48","118.00","115.77","1.60M","-1.17%"
"07/05/2024","117.54","117.73","117.73","116.33","1.59M","0.09%"
"07/03/2024","117.43","118.20","118.38","117.38","1.07M","-0.80%"
"07/02/2024","118.38","116.77","118.43","116.23","1.72M","1.18%"
"07/01/2024","117.00","118.97","120.14","116.36","1.73M","-1.32%"
"06/28/2024","118.56","117.57","119.83","117.52","6.56M","0.61%"
"06/27/2024","117.84","117.21","118.19","115.54","2.61M","0.38%"
"06/26/2024","117.39","125.00","125.00","117.31","5.18M","-6.11%"
"06/25/2024","125.03","126.13","126.48","124.77","2.51M","-0.83%"
"06/24/2024","126.08","126.22","127.75","125.59","1.74M","0.10%"
"06/21/2024","125.96","125.61","126.18","125.16","2.89M","0.70%"
"06/20/2024","125.08","125.29","126.20","124.84","2.26M","-0.30%"
"06/18/2024","125.46","124.93","125.56","124.03","1.18M","0.60%"
"06/17/2024","124.71","121.52","124.89","120.80","1.48M","2.23%"
"06/14/2024","121.99","122.60","122.85","121.46","1.14M","-0.55%"
"06/13/2024","122.67","122.12","122.85","121.25","1.53M","-0.12%"
"06/12/2024","122.82","124.25","124.51","122.69","1.89M","-0.90%"
"06/11/2024","123.93","121.81","124.13","121.62","2.44M","1.63%"
"06/10/2024","121.94","122.12","122.48","120.75","2.72M","-0.52%"
"06/07/2024","122.58","121.30","124.15","121.30","1.98M","0.62%"
"06/06/2024","121.83","121.86","122.81","121.49","1.18M","0.16%"
"06/05/2024","121.64","121.71","121.99","120.10","1.17M","0.06%"
"06/04/2024","121.57","119.77","122.26","119.31","1.27M","1.18%"
"06/03/2024","120.15","120.14","120.30","118.72","1.98M","-0.01%"
"05/31/2024","120.16","118.41","120.61","118.25","4.18M","1.48%"
"05/30/2024","118.41","119.00","119.43","118.13","1.43M","-0.29%"
"05/29/2024","118.75","119.31","120.64","118.69","1.33M","-1.26%"
"05/28/2024","120.27","123.79","123.89","119.48","2.48M","-3.19%"
"05/24/2024","124.23","125.88","126.85","124.01","1.35M","-1.14%"
"05/23/2024","125.66","126.70","126.70","125.50","2.12M","-1.04%"
"05/22/2024","126.98","125.75","127.48","125.20","1.74M","0.86%"
"05/21/2024","125.90","126.03","126.03","124.77","943.84K","0.26%"
"05/20/2024","125.57","125.80","125.81","124.85","896.49K","-0.06%"
"05/17/2024","125.65","125.10","125.83","124.14","2.41M","0.37%"
"05/16/2024","125.19","124.37","125.63","123.56","1.46M","0.66%"
"05/15/2024","124.37","124.31","125.29","124.05","1.27M","0.53%"
"05/14/2024","123.71","125.00","126.21","123.07","2.45M","-0.85%"
"05/13/2024","124.77","122.97","124.88","122.94","1.69M","1.81%"
"05/10/2024","122.55","121.79","122.62","121.32","1.06M","1.03%"
"05/09/2024","121.30","120.45","121.38","120.09","1.46M","0.09%"
"05/08/2024","121.19","121.99","122.10","120.24","875.66K","-0.49%"
"05/07/2024","121.79","120.94","122.02","120.64","1.07M","0.96%"
"05/06/2024","120.63","120.31","120.70","119.63","837.90K","0.44%"
"05/03/2024","120.10","119.27","120.21","118.87","1.54M","1.39%"
"05/02/2024","118.45","119.54","119.61","117.15","1.48M","-0.80%"
"05/01/2024","119.41","118.87","122.11","118.87","1.47M","0.51%"
"04/30/2024","118.81","120.35","120.47","118.70","1.69M","-1.66%"
"04/29/2024","120.81","120.28","121.03","120.09","1.93M","0.70%"
"04/26/2024","119.97","121.23","122.19","119.85","2.40M","-1.64%"
"04/25/2024","121.97","123.41","123.96","121.27","1.20M","-0.45%"
"04/24/2024","122.52","120.80","122.68","120.42","1.81M","0.74%"
"04/23/2024","121.62","121.23","122.09","120.71","1.22M","0.32%"
"04/22/2024","121.23","120.00","122.02","119.83","1.91M","1.43%"
"04/19/2024","119.52","117.79","119.85","117.79","2.64M","1.47%"
"04/18/2024","117.79","119.78","119.78","117.74","2.30M","-1.13%"
"04/17/2024","119.14","121.49","121.49","119.07","2.28M","-1.65%"
"04/16/2024","121.14","122.49","122.75","121.00","2.00M","-1.07%"
"04/15/2024","122.45","124.17","124.68","122.25","2.14M","-0.45%"
"04/12/2024","123.00","123.67","124.10","122.25","2.00M","-1.00%"
"04/11/2024","124.24","124.78","125.86","122.83","1.71M","-0.22%"
"04/10/2024","124.52","126.00","126.20","123.41","1.91M","-1.64%"
"04/09/2024","126.59","124.81","126.71","124.33","2.23M","2.21%"
"04/08/2024","123.85","121.70","124.11","121.57","2.65M","1.20%"
"04/05/2024","122.38","120.01","122.40","119.87","2.06M","1.99%"
"04/04/2024","119.99","121.29","121.81","119.39","2.03M","-0.22%"
"04/03/2024","120.26","122.02","122.05","119.23","2.48M","-1.49%"
"04/02/2024","122.08","116.57","122.58","114.72","5.00M","0.38%"
"04/01/2024","121.62","123.00","123.08","121.25","2.82M","-0.96%"
"03/28/2024","122.80","122.00","122.97","121.85","1.62M","1.05%"
"03/27/2024","121.53","120.71","121.83","120.14","1.53M","1.63%"
"03/26/2024","119.58","118.58","119.80","118.40","1.72M","0.52%"
"03/25/2024","118.96","120.57","120.76","118.41","1.89M","-1.56%"
"03/22/2024","120.84","122.84","122.84","120.69","1.43M","-1.22%"
"03/21/2024","122.33","123.34","123.68","122.30","2.19M","-0.54%"
"03/20/2024","123.00","121.53","123.54","120.96","1.50M","1.62%"
"03/19/2024","121.04","120.44","121.16","120.02","1.11M","0.41%"
"03/18/2024","120.54","121.08","121.60","120.48","1.21M","0.22%"
"03/15/2024","120.28","121.33","121.90","119.79","5.84M","-1.06%"
"03/14/2024","121.57","122.21","122.52","120.92","1.67M","-0.46%"
"03/13/2024","122.13","122.65","123.34","121.96","1.64M","-0.42%"
"03/12/2024","122.65","121.16","122.94","120.98","1.55M","0.83%"
"03/11/2024","121.64","121.24","121.78","119.84","1.28M","0.68%"
"03/08/2024","120.82","120.84","121.89","120.25","1.34M","-0.26%"
"03/07/2024","121.13","121.53","122.06","120.13","2.04M","0.33%"
"03/06/2024","120.73","120.12","121.38","119.61","1.80M","0.42%"
"03/05/2024","120.23","122.38","122.50","119.67","1.69M","-1.72%"
"03/04/2024","122.34","122.95","124.36","122.30","2.73M","0.09%"
"03/01/2024","122.23","122.11","122.65","121.38","1.02M","-0.32%"
"02/29/2024","122.62","123.14","123.14","122.16","1.95M","0.17%"
"02/28/2024","122.41","122.90","123.40","122.30","898.50K","-0.40%"
"02/27/2024","122.90","123.05","123.75","122.30","1.05M","-0.38%"
"02/26/2024","123.37","124.62","124.83","123.28","1.19M","-1.02%"
"02/23/2024","124.64","125.00","125.26","124.58","1.08M","-0.06%"
"02/22/2024","124.71","123.78","125.01","123.24","1.47M","1.04%"
"02/21/2024","123.43","124.71","124.85","122.77","1.10M","-0.85%"
"02/20/2024","124.49","123.38","124.51","123.27","1.42M","0.90%"
"02/16/2024","123.38","122.65","123.82","122.00","1.10M","0.48%"
"02/15/2024","122.79","122.60","123.20","122.41","1.44M","0.47%"
"02/14/2024","122.22","121.80","122.79","121.27","1.79M","0.68%"
"02/13/2024","121.39","121.65","121.84","120.36","1.93M","-0.58%"
"02/12/2024","122.10","122.12","122.54","121.56","2.26M","-0.76%"
"02/09/2024","123.03","123.01","123.25","121.84","1.71M","0.23%"
"02/08/2024","122.75","122.00","122.81","121.10","1.08M","0.53%"
"02/07/2024","122.10","122.95","123.19","121.65","1.41M","-0.07%"
"02/06/2024","122.19","120.35","122.61","119.96","2.24M","1.92%"
"02/05/2024","119.89","121.32","121.33","119.42","1.66M","-1.54%"
"02/02/2024","121.77","121.19","122.09","120.19","1.95M","0.55%"
"02/01/2024","121.10","121.78","122.01","119.23","2.09M","-0.52%"
"01/31/2024","121.73","123.04","123.82","121.47","2.35M","-0.56%"
"01/30/2024","122.42","120.39","122.54","120.24","1.45M","0.87%"
"01/29/2024","121.36","120.57","121.53","120.46","1.49M","0.35%"
"01/26/2024","120.94","121.25","121.42","120.35","1.17M","-0.06%"
"01/25/2024","121.01","121.84","123.20","120.49","1.56M","-0.72%"
"01/24/2024","121.89","123.55","124.39","121.50","2.59M","-0.76%"
"01/23/2024","122.82","122.64","123.50","122.51","2.02M","0.02%"
"01/22/2024","122.79","121.99","123.09","121.80","1.15M","0.57%"
"01/19/2024","122.09","121.03","122.75","119.79","2.26M","1.43%"
"01/18/2024","120.37","120.20","120.51","118.90","1.88M","0.22%"
"01/17/2024","120.11","119.36","120.37","119.36","1.39M","0.25%"
"01/16/2024","119.81","119.36","119.85","118.64","1.97M","0.08%"
"01/12/2024","119.72","119.98","120.37","118.79","1.03M","0.49%"
"01/11/2024","119.14","118.97","119.23","117.78","1.71M","0.21%"
"01/10/2024","118.89","118.70","119.26","118.16","1.01M","0.19%"
"01/09/2024","118.67","118.55","118.85","117.50","1.25M","-0.67%"
"01/08/2024","119.47","117.96","119.58","117.44","2.05M","1.26%"
"01/05/2024","117.98","117.49","118.65","117.43","1.30M","0.11%"
"01/04/2024","117.85","117.42","118.46","117.15","1.53M","0.86%"
"01/03/2024","116.84","118.46","118.69","116.77","1.59M","-0.87%"
"01/02/2024","117.87","118.84","119.09","117.32","1.98M","-1.04%"
"12/29/2023","119.11","119.13","119.55","118.33","1.24M","-0.33%"
"12/28/2023","119.50","119.36","120.07","119.06","2.20M","0.36%"
"12/27/2023","119.07","120.11","120.11","118.90","1.39M","-0.92%"
"12/26/2023","120.18","119.32","120.60","119.12","1.39M","0.27%"
"12/22/2023","119.86","118.70","121.10","118.58","2.65M","0.81%"
"12/21/2023","118.90","122.25","122.25","118.59","5.82M","-7.01%"
"12/20/2023","127.86","128.23","129.66","127.78","2.76M","-0.72%"
"12/19/2023","128.79","127.90","129.37","127.02","2.76M","0.82%"
"12/18/2023","127.74","127.83","128.00","126.81","1.75M","0.71%"
"12/15/2023","126.84","126.54","127.84","126.33","3.83M","0.01%"
"12/14/2023","126.83","128.71","128.86","126.54","3.49M","-1.01%"
"12/13/2023","128.12","126.89","128.19","125.73","2.91M","1.23%"
"12/12/2023","126.56","125.75","126.66","124.61","1.41M","1.09%"
"12/11/2023","125.20","124.79","126.13","124.72","2.26M","0.95%"
"12/08/2023","124.02","124.44","125.16","123.84","1.71M","-0.65%"
"12/07/2023","124.83","124.85","125.34","123.55","1.75M","0.33%"
"12/06/2023","124.42","123.64","124.56","123.00","1.84M","1.12%"
"12/05/2023","123.04","124.01","124.27","122.53","1.73M","-0.92%"
"12/04/2023","124.18","122.50","124.40","122.48","1.61M","0.21%"
"12/01/2023","123.92","121.96","124.14","121.64","1.63M","1.60%"
"11/30/2023","121.97","121.59","122.17","120.82","2.68M","0.68%"
"11/29/2023","121.15","120.00","121.91","119.67","1.99M","1.31%"
"11/28/2023","119.58","119.14","119.69","118.60","1.90M","0.53%"
"11/27/2023","118.95","118.19","119.10","117.74","1.66M","0.38%"
"11/24/2023","118.50","119.31","119.32","118.23","548.15K","-0.38%"
"11/22/2023","118.95","119.35","119.89","118.25","2.50M","0.50%"
"11/21/2023","118.36","118.80","119.06","118.13","1.86M","-0.35%"
"11/20/2023","118.77","117.07","119.03","117.07","1.50M","1.06%"
"11/17/2023","117.52","117.19","117.68","116.56","1.28M","0.88%"
"11/16/2023","116.49","118.31","118.88","115.43","1.32M","-0.55%"
"11/15/2023","117.14","116.69","117.88","116.60","2.24M","0.76%"
"11/14/2023","116.26","116.30","116.93","115.33","1.74M","1.55%"
"11/13/2023","114.48","114.16","114.87","113.87","1.28M","-0.82%"
"11/10/2023","115.43","114.90","115.83","114.25","1.54M","1.24%"
"11/09/2023","114.02","114.65","115.15","113.70","1.90M","-0.03%"
"11/08/2023","114.05","113.06","114.42","112.34","1.50M","1.35%"
"11/07/2023","112.53","111.62","112.68","110.82","1.91M","0.93%"
"11/06/2023","111.49","110.77","111.54","109.98","1.73M","0.93%"
"11/03/2023","110.46","113.49","114.10","108.58","2.88M","-1.79%"
"11/02/2023","112.47","109.65","112.53","109.50","1.56M","3.32%"
"11/01/2023","108.86","109.36","109.36","106.27","3.09M","-1.97%"
"10/31/2023","111.05","110.68","111.31","110.00","1.37M","0.43%"
"10/30/2023","110.57","110.56","111.02","109.24","1.29M","0.91%"
"10/27/2023","109.57","111.57","111.57","109.02","1.74M","-1.95%"
"10/26/2023","111.75","112.25","113.28","111.65","2.32M","-0.39%"
"10/25/2023","112.19","115.94","115.94","111.36","3.90M","-4.21%"
"10/24/2023","117.12","117.24","117.64","115.57","1.23M","0.42%"
"10/23/2023","116.63","116.08","117.94","115.67","1.54M","0.54%"
"10/20/2023","116.00","118.19","118.38","115.90","2.04M","-1.85%"
"10/19/2023","118.19","118.51","119.63","117.53","1.62M","-0.07%"
"10/18/2023","118.27","119.08","119.23","117.80","1.37M","-0.73%"
"10/17/2023","119.14","118.81","119.55","118.44","1.11M","0.35%"
"10/16/2023","118.73","119.03","119.19","117.62","1.29M","0.64%"
"10/13/2023","117.98","119.14","119.39","116.97","932.63K","-0.49%"
"10/12/2023","118.56","119.14","119.32","117.96","1.33M","-0.08%"
"10/11/2023","118.66","119.03","119.18","117.48","1.38M","0.19%"
"10/10/2023","118.43","119.12","120.16","118.03","2.03M","-0.61%"
"10/09/2023","119.16","117.08","119.41","117.07","1.26M","1.50%"
"10/06/2023","117.40","114.08","117.68","113.62","2.22M","2.20%"
"10/05/2023","114.87","115.61","115.73","113.97","1.10M","-0.36%"
"10/04/2023","115.28","114.79","115.64","113.82","1.70M","0.91%"
