"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","156.90","156.95","156.97","156.90","18.21M","0.25%"
"03/14/2024","156.51","156.86","156.87","156.14","4.41M","-0.09%"
"03/13/2024","156.65","156.60","156.70","156.54","1.60M","0.03%"
"03/12/2024","156.60","156.43","156.64","156.39","2.00M","0.06%"
"03/11/2024","156.50","156.38","156.64","156.38","1.92M","0.03%"
"03/08/2024","156.45","156.33","156.50","156.27","1.59M","0.07%"
"03/07/2024","156.34","156.35","156.54","156.25","1.29M","0.08%"
"03/06/2024","156.21","156.43","156.48","156.20","1.71M","-0.15%"
"03/05/2024","156.44","156.42","156.47","156.29","2.22M","0.14%"
"03/04/2024","156.22","156.13","156.27","156.10","1.24M","0.04%"
"03/01/2024","156.16","156.07","156.21","155.91","2.89M","-0.04%"
"02/29/2024","156.22","156.05","156.30","156.05","3.15M","0.04%"
"02/28/2024","156.16","155.55","156.16","155.55","2.44M","0.36%"
"02/27/2024","155.60","155.57","155.68","155.51","1.60M","0.03%"
"02/26/2024","155.55","155.53","155.69","155.49","1.02M","0.00%"
"02/23/2024","155.55","155.61","155.78","155.55","1.27M","-0.05%"
"02/22/2024","155.63","155.64","155.83","155.57","1.61M","0.10%"
"02/21/2024","155.48","155.35","155.50","155.35","1.96M","0.05%"
"02/20/2024","155.40","155.42","155.48","155.32","1.93M","0.02%"
"02/16/2024","155.37","155.40","155.46","155.25","2.58M","-0.03%"
"02/15/2024","155.41","155.30","155.47","155.20","2.95M","0.59%"
"02/14/2024","154.50","154.70","154.70","154.43","1.56M","0.00%"
"02/13/2024","154.50","154.44","154.86","154.40","1.35M","0.05%"
"02/12/2024","154.42","154.40","154.82","154.35","1.40M","-0.08%"
"02/09/2024","154.54","154.35","154.60","154.24","1.34M","0.19%"
"02/08/2024","154.25","154.05","154.45","154.05","2.22M","0.54%"
"02/07/2024","153.42","153.65","153.68","153.36","1.25M","-0.05%"
"02/06/2024","153.50","153.35","153.52","153.25","1.33M","0.10%"
"02/05/2024","153.34","153.21","153.42","153.12","1.71M","-0.03%"
"02/02/2024","153.39","153.35","153.50","153.30","1.66M","0.03%"
"02/01/2024","153.34","153.42","153.68","153.28","1.35M","-0.02%"
"01/31/2024","153.37","153.30","153.64","153.28","1.34M","-0.03%"
"01/30/2024","153.42","153.56","153.69","153.17","1.88M","-0.14%"
"01/29/2024","153.64","153.27","153.80","153.22","1.78M","0.18%"
"01/26/2024","153.36","153.27","153.38","153.20","1.98M","0.04%"
"01/25/2024","153.30","153.47","153.47","153.26","959.53K","0.03%"
"01/24/2024","153.25","153.10","153.54","153.10","1.30M","-0.05%"
"01/23/2024","153.33","153.30","153.43","153.15","864.60K","0.03%"
"01/22/2024","153.29","153.32","153.88","153.04","1.56M","0.03%"
"01/19/2024","153.25","152.81","153.34","152.77","1.99M","0.30%"
"01/18/2024","152.79","152.59","152.97","152.56","1.34M","0.07%"
"01/17/2024","152.69","152.45","152.76","152.45","1.54M","0.04%"
"01/16/2024","152.63","152.50","152.77","152.43","1.91M","-0.01%"
"01/12/2024","152.65","152.73","152.84","152.60","1.51M","-0.05%"
"01/11/2024","152.73","152.49","153.30","152.42","2.04M","0.16%"
"01/10/2024","152.49","152.31","152.61","152.30","1.11M","0.07%"
"01/09/2024","152.38","152.24","152.53","152.21","1.22M","0.08%"
"01/08/2024","152.26","152.21","152.48","152.19","1.52M","0.03%"
"01/05/2024","152.22","152.10","152.34","152.05","1.35M","0.04%"
"01/04/2024","152.16","152.23","152.41","152.06","1.50M","0.01%"
"01/03/2024","152.15","152.15","152.37","152.02","1.33M","-0.09%"
"01/02/2024","152.28","152.11","152.31","151.94","2.38M","-0.05%"
"12/29/2023","152.35","152.04","152.53","152.04","1.14M","0.19%"
"12/28/2023","152.06","152.21","152.21","152.04","818.04K","-0.01%"
"12/27/2023","152.08","152.01","152.22","151.99","1.73M","-0.11%"
"12/26/2023","152.25","152.00","152.40","151.86","1.10M","0.10%"
"12/22/2023","152.10","151.80","152.22","151.72","1.47M","0.20%"
"12/21/2023","151.80","152.15","152.25","151.76","1.88M","-0.08%"
"12/20/2023","151.92","151.97","152.39","151.87","1.43M","-0.03%"
"12/19/2023","151.97","151.88","152.04","151.62","2.46M","0.05%"
"12/18/2023","151.89","152.31","152.49","151.75","2.53M","-0.44%"
"12/15/2023","152.56","151.61","152.77","151.56","13.92M","0.45%"
"12/14/2023","151.87","151.75","152.01","151.41","2.88M","-0.11%"
"12/13/2023","152.04","151.74","152.11","151.50","2.05M","0.24%"
"12/12/2023","151.67","151.40","151.80","151.27","1.94M","0.12%"
"12/11/2023","151.49","150.93","151.62","150.88","2.11M","0.36%"
"12/08/2023","150.95","151.00","151.15","150.85","1.20M","-0.04%"
"12/07/2023","151.01","151.01","151.33","150.94","1.96M","-0.06%"
"12/06/2023","151.10","151.20","151.45","151.00","1.40M","-0.18%"
"12/05/2023","151.38","150.80","151.39","150.80","1.21M","0.27%"
"12/04/2023","150.97","151.18","151.31","150.89","2.07M","-0.24%"
"12/01/2023","151.33","151.45","151.55","151.15","1.73M","-0.14%"
"11/30/2023","151.54","150.92","151.90","150.50","4.65M","0.62%"
"11/29/2023","150.60","151.89","151.89","149.61","6.53M","-0.40%"
"11/28/2023","151.21","151.57","151.70","150.93","2.95M","-0.25%"
"11/27/2023","151.59","151.89","152.00","151.50","1.89M","-0.22%"
"11/24/2023","151.93","151.53","151.96","151.45","476.45K","0.26%"
"11/22/2023","151.54","151.96","151.96","151.44","1.62M","-0.18%"
"11/21/2023","151.81","151.41","151.82","151.21","1.65M","0.34%"
"11/20/2023","151.29","151.00","151.30","150.82","1.38M","0.19%"
"11/17/2023","151.01","151.00","151.14","150.76","1.93M","0.09%"
"11/16/2023","150.88","151.02","151.25","150.82","2.20M","-0.12%"
"11/15/2023","151.06","151.10","151.37","151.00","2.48M","-0.05%"
"11/14/2023","151.14","151.10","151.50","151.05","4.48M","2.96%"
"11/13/2023","146.80","146.94","147.06","146.64","1.59M","-0.14%"
"11/10/2023","147.00","146.60","147.15","146.46","1.43M","0.31%"
"11/09/2023","146.55","146.83","147.17","146.54","1.73M","-0.11%"
"11/08/2023","146.71","147.04","147.83","146.71","2.01M","-0.31%"
"11/07/2023","147.17","146.62","147.34","146.45","1.94M","0.38%"
"11/06/2023","146.62","146.67","146.82","146.30","1.59M","0.10%"
"11/03/2023","146.48","146.70","147.13","146.43","2.26M","-0.21%"
"11/02/2023","146.79","146.69","146.92","146.49","2.15M","-0.06%"
"11/01/2023","146.88","147.15","147.30","146.54","3.15M","-0.19%"
"10/31/2023","147.16","146.99","147.62","146.80","2.24M","-0.03%"
"10/30/2023","147.20","147.03","147.37","146.74","1.61M","0.04%"
"10/27/2023","147.14","147.30","147.57","146.91","2.19M","0.01%"
"10/26/2023","147.13","147.55","147.70","147.08","2.16M","-0.24%"
"10/25/2023","147.49","147.73","147.96","147.40","1.47M","-0.12%"
"10/24/2023","147.67","148.21","148.35","147.63","1.67M","-0.24%"
"10/23/2023","148.02","147.57","148.30","147.50","1.10M","0.33%"
"10/20/2023","147.53","147.90","148.00","147.53","2.43M","-0.25%"
"10/19/2023","147.90","148.01","148.45","147.80","1.59M","-0.07%"
"10/18/2023","148.01","147.78","148.44","147.72","1.93M","0.14%"
"10/17/2023","147.81","147.80","148.21","147.47","1.45M","-0.30%"
"10/16/2023","148.25","147.90","148.50","147.70","1.55M","0.21%"
"10/13/2023","147.94","147.78","148.31","147.72","2.00M","0.15%"
"10/12/2023","147.72","147.04","147.78","146.94","1.97M","0.37%"
"10/11/2023","147.18","146.52","147.35","146.49","2.14M","0.44%"
"10/10/2023","146.53","147.00","147.21","146.52","3.19M","-0.39%"
"10/09/2023","147.10","146.65","147.48","146.61","2.18M","0.27%"
"10/06/2023","146.70","146.58","146.91","146.41","2.84M","-0.19%"
"10/05/2023","146.98","146.25","147.00","146.21","2.04M","0.22%"
"10/04/2023","146.66","146.00","146.72","145.98","1.84M","0.45%"
"10/03/2023","146.00","146.20","146.24","145.93","2.39M","-0.14%"
"10/02/2023","146.20","146.27","146.56","146.02","2.67M","-0.03%"
"09/29/2023","146.25","146.59","146.85","146.15","2.73M","-0.18%"
"09/28/2023","146.51","146.50","147.00","146.43","2.51M","-0.04%"
"09/27/2023","146.57","145.64","147.14","145.64","3.91M","0.63%"
"09/26/2023","145.65","144.75","145.90","144.75","4.01M","0.59%"
"09/25/2023","144.80","145.00","145.30","144.59","6.35M","-0.19%"
"09/22/2023","145.07","144.42","145.47","144.26","9.19M","0.44%"
"09/21/2023","144.43","144.48","145.81","144.24","26.19M","20.77%"
"09/20/2023","119.59","119.47","121.50","119.01","1.24M","0.27%"
"09/19/2023","119.27","118.67","119.54","117.81","1.13M","0.02%"
"09/18/2023","119.25","120.04","120.80","119.05","1.15M","-1.31%"
"09/15/2023","120.83","121.64","121.85","119.46","2.41M","-1.08%"
"09/14/2023","122.15","124.22","124.29","121.96","1.33M","-1.05%"
"09/13/2023","123.45","122.22","124.37","121.94","1.29M","0.69%"
"09/12/2023","122.60","122.60","123.43","122.01","1.96M","-1.24%"
"09/11/2023","124.14","125.00","125.91","123.97","1.71M","-0.11%"
"09/08/2023","124.28","124.80","125.65","123.62","1.25M","-0.42%"
"09/07/2023","124.80","123.08","125.40","123.00","1.57M","0.19%"
"09/06/2023","124.56","123.57","125.51","123.22","1.89M","0.28%"
"09/05/2023","124.21","122.29","124.35","121.88","1.92M","1.11%"
"09/01/2023","122.85","122.16","123.44","122.09","1.94M","1.31%"
"08/31/2023","121.26","121.00","122.19","120.57","1.70M","0.81%"
"08/30/2023","120.28","118.34","120.49","118.22","1.66M","1.57%"
"08/29/2023","118.42","117.22","119.88","117.22","3.11M","1.08%"
"08/28/2023","117.15","116.32","117.71","115.13","2.56M","1.04%"
"08/25/2023","115.94","112.89","116.18","110.74","4.07M","2.76%"
"08/24/2023","112.83","110.48","114.60","110.15","9.05M","12.91%"
"08/23/2023","99.93","98.86","100.22","98.23","2.24M","1.80%"
"08/22/2023","98.16","100.00","100.11","98.10","1.51M","-0.45%"
"08/21/2023","98.60","98.00","99.32","97.33","1.58M","1.14%"
"08/18/2023","97.49","95.64","97.95","95.24","932.80K","0.35%"
"08/17/2023","97.15","97.08","97.76","95.51","1.31M","0.13%"
"08/16/2023","97.02","97.73","98.46","96.93","936.41K","-1.04%"
"08/15/2023","98.04","97.84","99.21","97.78","857.64K","-0.57%"
"08/14/2023","98.60","98.24","99.44","97.68","995.98K","0.17%"
"08/11/2023","98.43","97.97","99.02","97.32","969.73K","-0.40%"
"08/10/2023","98.83","100.23","101.44","98.74","1.43M","-0.44%"
"08/09/2023","99.27","101.32","101.55","98.83","867.98K","-0.93%"
"08/08/2023","100.20","99.67","100.30","97.82","1.65M","-2.09%"
"08/07/2023","102.34","103.14","103.25","101.13","915.56K","-0.46%"
"08/04/2023","102.81","105.54","105.54","102.01","1.40M","-1.54%"
"08/03/2023","104.42","103.43","105.61","103.33","787.35K","0.60%"
"08/02/2023","103.80","104.97","105.14","102.00","1.45M","-3.17%"
"08/01/2023","107.20","107.44","107.89","105.97","663.01K","-1.04%"
"07/31/2023","108.33","105.14","109.73","105.00","2.17M","3.71%"
"07/28/2023","104.45","103.37","105.40","102.93","1.24M","2.11%"
"07/27/2023","102.29","106.61","107.05","101.55","1.55M","-2.92%"
"07/26/2023","105.37","103.90","105.67","103.26","798.56K","1.03%"
"07/25/2023","104.30","104.40","105.31","103.69","692.91K","0.70%"
"07/24/2023","103.58","105.21","105.43","102.89","770.83K","-0.84%"
"07/21/2023","104.46","105.71","106.46","103.58","1.39M","-0.31%"
