"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","181.26","187.00","191.79","180.58","951.08K","-2.09%"
"10/24/2024","185.12","185.81","186.94","184.71","677.90K","-0.34%"
"10/23/2024","185.75","186.58","187.22","185.48","556.84K","-0.61%"
"10/22/2024","186.89","186.34","187.25","185.16","527.98K","-0.15%"
"10/21/2024","187.17","187.04","187.48","185.46","454.94K","-0.29%"
"10/18/2024","187.72","185.90","188.24","185.87","420.74K","0.99%"
"10/17/2024","185.88","186.65","187.04","184.43","1.29M","-0.63%"
"10/16/2024","187.06","188.10","188.63","185.75","418.53K","-0.54%"
"10/15/2024","188.07","188.05","191.08","187.87","461.32K","-0.17%"
"10/14/2024","188.39","188.54","189.46","187.63","440.04K","0.15%"
"10/11/2024","188.10","187.34","188.44","185.99","532.94K","0.66%"
"10/10/2024","186.86","185.82","187.24","184.73","441.07K","0.46%"
"10/09/2024","186.01","185.39","186.63","185.01","429.28K","0.33%"
"10/08/2024","185.39","184.85","185.83","183.87","387.64K","0.55%"
"10/07/2024","184.37","186.88","187.16","184.29","545.29K","-1.35%"
"10/04/2024","186.90","187.54","187.72","185.49","356.04K","0.27%"
"10/03/2024","186.40","186.72","186.72","184.53","406.15K","-0.72%"
"10/02/2024","187.76","186.45","188.38","185.76","428.70K","0.33%"
"10/01/2024","187.14","188.20","188.81","185.45","539.63K","-1.48%"
"09/30/2024","189.96","190.36","191.53","188.90","572.97K","-0.36%"
"09/27/2024","190.64","186.74","190.79","186.74","586.57K","2.39%"
"09/26/2024","186.19","182.78","186.51","182.78","707.34K","2.06%"
"09/25/2024","182.44","183.88","183.88","182.20","683.95K","-0.78%"
"09/24/2024","183.88","183.74","185.44","182.58","514.08K","0.73%"
"09/23/2024","182.55","181.67","183.62","180.88","491.44K","0.73%"
"09/20/2024","181.22","181.68","182.98","179.78","1.83M","-0.66%"
"09/19/2024","182.42","180.78","184.38","180.67","652.11K","1.76%"
"09/18/2024","179.27","182.64","183.08","179.10","547.25K","-1.96%"
"09/17/2024","182.86","182.45","183.76","182.29","444.85K","0.22%"
"09/16/2024","182.46","184.13","187.34","182.26","712.91K","-0.19%"
"09/13/2024","182.81","180.38","183.20","178.92","570.14K","1.58%"
"09/12/2024","179.97","182.04","182.04","178.09","1.03M","-1.15%"
"09/11/2024","182.06","181.05","182.22","177.91","650.63K","0.52%"
"09/10/2024","181.12","182.75","183.00","180.36","584.94K","-0.46%"
"09/09/2024","181.96","181.65","183.83","180.86","927.38K","0.07%"
"09/06/2024","181.84","183.90","184.55","181.10","528.72K","-0.87%"
"09/05/2024","183.44","184.96","185.22","181.82","415.08K","-0.78%"
"09/04/2024","184.89","185.03","185.59","183.16","468.94K","-0.01%"
"09/03/2024","184.91","183.73","187.30","181.80","736.82K","0.55%"
"08/30/2024","183.90","182.38","184.53","182.38","661.52K","1.04%"
"08/29/2024","182.00","182.01","183.68","180.98","255.21K","0.45%"
"08/28/2024","181.19","181.37","182.74","180.01","395.08K","-0.30%"
